qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
1,obama family tree ,0.4449,3,anchor.topn3,0.5009,obama family tree barack   obama strichnocera mekubetzet tree stern   s diatomic sequ ssm a   ,tagmee.topn3,0.4586,obama family tree Family of Barack Obama ,conceptluster.topn5.3.bm25.rm3,0.4586,obama family tree family barack obama ,,,,,,,,,,,,,,,,,,,,,
2,french lick resort and casino ,0.2689,4,stem.lovins,0.2832,french lick resort and casin ,tagmee.topn3,0.2818,french lick resort casino French Lick  Indiana French Lick Resort Casino Casino ,conceptluster.topn5.3.bm25.rm3,0.2818,french lick resort casino french lick indiana casino french lick resort casino ,tagmee.topn3.replace,0.2768,French Lick  Indiana French Lick Resort Casino Casino ,,,,,,,,,,,,,,,,,,
3,getting organized ,0.0346,1,docluster.topn10.3.bm25.rm3,0.0377,getting organized organ ,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,toilet ,0.1059,1,relevancefeedback.topn10.bm25.rm3,0.2461,toilet step ,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,mitchell college ,0.0027,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,kcs ,0.0024,1,sensedisambiguation,0.0041,kcs kilohertz ,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,air travel information ,0.0106,5,sensedisambiguation.replace,0.0194,air travel travel information ,tagmee.topn3,0.0131,air travel information Airliner Information ,conceptluster.topn5.3.bm25.rm3,0.0131,air travel information information airliner ,tagmee.topn3.replace,0.0128,Airliner Information ,sensedisambiguation,0.0113,air air travel travel information ,,,,,,,,,,,,,,,
8,appraisals ,0.0019,7,relevancefeedback.topn10.bm25.rm3,0.0065,appraisals apprais ,docluster.topn10.3.bm25.rm3,0.0065,appraisals apprais ,stem.lovins,0.0035,apprais ,stem.porter,0.0035,apprais ,stem.porter2,0.0035,apprais ,conceptnet.topn3,0.0031,appraisals establish a worth ,wordnet.topn3,0.0021,appraisals estimation estimate ,,,,,,,,,
9,used car parts ,0.0477,2,relevancefeedback.topn10.bm25.rm3,0.0567,used car parts part ,docluster.topn10.3.bm25.rm3,0.0567,used car parts part ,,,,,,,,,,,,,,,,,,,,,,,,
10,cheap internet ,0.0,4,word2vec.topn3,0.104,cheap internet inexpensive low cost online intenet ,word2vec.topn3.replace,0.1008,inexpensive low cost online intenet ,glove.topn3,0.0001,cheap internet inexpensive cheaper web online ,glove.topn3.replace,0.0001,inexpensive cheaper web online ,,,,,,,,,,,,,,,,,,
11,gmat prep classes ,0.2208,1,word2vec.topn3,0.2274,gmat prep classes courses ,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,djs ,0.0706,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,map ,0.0057,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,dinosaurs ,0.0162,1,glove.topn3,0.0496,dinosaurs reptiles ,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,espn sports ,0.1745,1,sensedisambiguation,0.1788,espn sports sport ,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,arizona game and fish ,0.1912,1,termluster.topn5.3.bm25.rm3,0.2089,arizona game fish also blog boat also arizona blog also arizona blog ,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,poker tournaments ,0.0418,4,sensedisambiguation,0.0483,poker tournaments tournament ,tagmee.topn3,0.0469,poker tournaments Poker Poker tournament ,conceptluster.topn5.3.bm25.rm3,0.0469,poker tournaments poker poker tournament ,tagmee.topn3.replace,0.0435,Poker Poker tournament ,,,,,,,,,,,,,,,,,,
18,wedding budget calculator ,0.0314,2,tagmee.topn3,0.0385,wedding budget calculator United Kingdom budget Calculator ,conceptluster.topn5.3.bm25.rm3,0.0385,wedding budget calculator united kingdom budget calculator ,,,,,,,,,,,,,,,,,,,,,,,,
19,the current ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,defender ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,volvo ,0.2495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,rick warren ,0.2156,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,yahoo ,0.0157,1,wiki.topn3,0.0183,yahoo alibaba group websites by company companies based in sunnyvale  california Yahoo  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,diversity ,0.0177,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,euclid ,0.313,1,termluster.topn5.3.bm25.rm3,0.3422,euclid book element geometri ,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,lower heart rate ,0.0119,2,tagmee.topn3,0.0227,lower heart rate Mandible Heart rate ,conceptluster.topn5.3.bm25.rm3,0.0227,lower heart rate mandible heart rate ,,,,,,,,,,,,,,,,,,,,,,,,
27,starbucks ,0.0842,1,wiki.topn3,0.0991,starbucks retail companies established in      burger king pike place market Starbucks ,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,inuyasha ,0.1619,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ps   games ,0.0007,2,glove.topn3,0.003,ps   games brmsg brnws     play ,relevancefeedback.topn10.bm25.rm3,0.0016,ps   games   game god    ,,,,,,,,,,,,,,,,,,,,,,,,
30,diabetes education ,0.0267,2,tagmee.topn3,0.03,diabetes education Diabetes mellitus Education ,conceptluster.topn5.3.bm25.rm3,0.03,diabetes education education diabetes mellitus ,,,,,,,,,,,,,,,,,,,,,,,,
31,atari ,0.3075,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,website design hosting ,0.0032,3,tagmee.topn3,0.0045,website design hosting Web design Internet hosting service ,conceptluster.topn5.3.bm25.rm3,0.0045,website design hosting internet hosting service web design ,relevancefeedback.topn10.bm25.rm3,0.0036,website design hosting web develop domain ,,,,,,,,,,,,,,,,,,,,,
33,elliptical trainer ,0.2139,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,cell phones ,0.0141,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,hoboken ,0.2027,3,tagmee.topn3.replace,0.3377,Hoboken  New Jersey ,tagmee.topn3,0.2124,hoboken Hoboken  New Jersey ,conceptluster.topn5.3.bm25.rm3,0.2124,hoboken hoboken new jersey ,,,,,,,,,,,,,,,,,,,,,
36,gps ,0.0239,2,wiki.topn3,0.0575,gps missile guidance geographical technology radio navigation Global Positioning System ,glove.topn3,0.0348,gps positioning navigation ,,,,,,,,,,,,,,,,,,,,,,,,
37,pampered chef ,0.0589,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,dogs for adoption ,0.0558,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,disneyland hotel ,0.0423,3,tagmee.topn3.replace,0.055,Disneyland Hotel  California  ,tagmee.topn3,0.0502,disneyland hotel Disneyland Hotel  California  ,conceptluster.topn5.3.bm25.rm3,0.0502,disneyland hotel disneyland hotel california ,,,,,,,,,,,,,,,,,,,,,
40,michworks ,0.0565,1,docluster.topn10.3.bm25.rm3,0.0629,michworks counti ,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,orange county convention center ,0.1092,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,the music man ,0.0,2,wiki.topn3,0.0045,music man oklahoma  oklahoma in fiction kiss me  kate The Music Man ,wiki.topn3.replace,0.0011,oklahoma  oklahoma in fiction kiss me  kate The Music Man ,,,,,,,,,,,,,,,,,,,,,,,,
43,the secret garden ,0.1821,3,wiki.topn3,0.5626,secret garden novels by frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey The Secret Garden ,wiki.topn3.replace,0.5597,novels by frances hodgson burnett littlwomen thchristmas miraclof jonathan toomey The Secret Garden ,docluster.topn10.3.bm25.rm3,0.2086,the secret garden now ,,,,,,,,,,,,,,,,,,,,,
44,map of the united states ,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,solar panels ,0.1285,1,sensedisambiguation,0.1359,solar panels panel ,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,alexian brothers hospital ,0.3128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,indexed annuity ,0.1775,1,sensedisambiguation,0.2301,indexed index annuity ,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,wilson antenna ,0.0077,1,thesaurus.topn3,0.046,wilson antenna   receiver wire ,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,flame designs ,0.4242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,dog heat ,0.0315,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,horse hooves ,0.2835,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,avp ,0.2399,1,termluster.topn5.3.bm25.rm3,0.4715,avp tour ,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,discovery channel store ,0.0902,2,tagmee.topn3,0.093,discovery channel store Discovery Channel ,conceptluster.topn5.3.bm25.rm3,0.093,discovery channel store discovery channel ,,,,,,,,,,,,,,,,,,,,,,,,
54,president of the united states ,0.0303,1,termluster.topn5.3.bm25.rm3,0.1055,president united states vote vice unit vote vice two vote vice unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,iron ,0.0,7,wordnet.topn3.replace,0.1157,cast iron atomic number    ,wordnet.topn3,0.0992,iron Fe smoothing iron ,anchor.topn3,0.0692,iron isocyanotoluenemolybdenum isocyanobutanemolybdenum hydromanganes ,word2vec.topn3,0.0041,iron steel metal ,glove.topn3,0.0041,iron steel metal ,termluster.topn5.3.bm25.rm3,0.0035,iron cast food maiden ,conceptnet.topn3,0.0031,iron metal a metal steel ,,,,,,,,,
56,uss yorktown charleston sc ,0.0377,7,tagmee.topn3.replace,0.2175,USS Yorktown  CV     Charleston  South Carolina ,tagmee.topn3,0.1309,uss yorktown charleston sc USS Yorktown  CV     Charleston  South Carolina ,conceptluster.topn5.3.bm25.rm3,0.1309,uss yorktown charleston sc charleston south carolina uss yorktown cv    ,glove.topn3,0.0785,uss yorktown charleston sc destroyer u s s  williamsburg      savannah s c  karlsruher djecr ,conceptnet.topn3,0.0613,uss yorktown charleston sc ship state Virginia scandium South Carolina ,wiki.topn3,0.046,uss yorktown charleston sc uss princeton  cvl     uss south dakota  bb     uss iowa  bb     USS Yorktown  CV     charleston  south carolina populated coastal places in south carolina regions of south carolina Charleston  South Carolina ,docluster.topn10.3.bm25.rm3,0.038,uss yorktown charleston sc museum ,,,,,,,,,
57,ct jobs ,0.0813,1,docluster.topn10.3.bm25.rm3,0.0952,ct jobs job ,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,penguins ,0.0132,2,conceptnet.topn3,0.0607,penguins funny looking a zoo swim underwater ,word2vec.topn3,0.0291,penguins rockhopper ,,,,,,,,,,,,,,,,,,,,,,,,
59,how to build a fence ,0.0229,3,relevancefeedback.topn10.bm25.rm3,0.0312,how to build a fence fenc ,docluster.topn10.3.bm25.rm3,0.0312,how to build a fence fenc ,termluster.topn5.3.bm25.rm3,0.0247,build fence fenc post privaci project privaci post ,,,,,,,,,,,,,,,,,,,,,
60,bellevue ,0.1618,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,worm ,0.0173,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,texas border patrol ,0.3366,6,wiki.topn3,0.4111,texas border patrol texas states of the confederate states of america louisiana Texas united states border patrol el paso intelligenccenter u s  customs and border protection United States Border Patrol ,tagmee.topn3,0.4088,texas border patrol Texas United States Border Patrol ,conceptluster.topn5.3.bm25.rm3,0.4088,texas border patrol united states border patrol texas ,wiki.topn3.replace,0.4074,texas states of the confederate states of america louisiana Texas united states border patrol el paso intelligenccenter u s  customs and border protection United States Border Patrol ,tagmee.topn3.replace,0.3996,Texas United States Border Patrol ,stem.paicehusk,0.3439,texa bord patrol ,,,,,,,,,,,,
63,flushing ,0.0476,3,tagmee.topn3,0.1816,flushing Flushing  Queens ,conceptluster.topn5.3.bm25.rm3,0.1816,flushing flushing queens ,tagmee.topn3.replace,0.1204,Flushing  Queens ,,,,,,,,,,,,,,,,,,,,,
64,moths ,0.1294,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,korean language ,0.0126,5,glove.topn3,0.3719,korean language korea word ,stem.krovetz,0.1368,korea language ,word2vec.topn3,0.1028,korean language korea langauge ,glove.topn3.replace,0.0528,korea word ,anchor.topn3,0.0133,korean language tipgo japanes vietnames ,,,,,,,,,,,,,,,
66,income tax return online ,0.003,1,glove.topn3,0.0052,income tax return online taxes income internet web ,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,vldl levels ,0.1134,3,stem.trunc4,0.14400000000000002,vldl leve ,conceptluster.topn5.3.bm25.rm3,0.1371,vldl levels low density lipoprotein ,tagmee.topn3,0.1354,vldl levels Very low density lipoprotein ,,,,,,,,,,,,,,,,,,,,,
68,pvc ,0.0951,5,tagmee.topn3,0.1682,pvc Polyvinyl chloride ,conceptluster.topn5.3.bm25.rm3,0.1682,pvc polyvinyl chloride ,wordnet.topn3,0.1642,pvc polyvinyl chloride premature ventricular contraction ,wordnet.topn3.replace,0.1641,polyvinyl chloride premature ventricular contraction ,docluster.topn10.3.bm25.rm3,0.0985,pvc pipe ,,,,,,,,,,,,,,,
69,sewing instructions ,0.0617,2,sensedisambiguation,0.0891,sewing sew instructions teaching ,docluster.topn10.3.bm25.rm3,0.0824,sewing instructions sew ,,,,,,,,,,,,,,,,,,,,,,,,
70,to be or not to be that is the question ,0.0,2,wiki.topn3.replace,0.0005,ninotchka anthony adverse thpied piper       film  To Be or Not to Be       film  ,wiki.topn3,0.0002,question ninotchka anthony adverse thpied piper       film  To Be or Not to Be       film  ,,,,,,,,,,,,,,,,,,,,,,,,
71,living in india ,0.0,5,word2vec.topn3,0.0011,living india non living pakistan indian nepal ,tagmee.topn3.replace,0.0004,India ,wiki.topn3,0.0001,living india states and territories established in      india hindustani speaking countries and territories India ,word2vec.topn3.replace,0.0001,non living pakistan indian nepal ,wiki.topn3.replace,0.0001,states and territories established in      india hindustani speaking countries and territories India ,,,,,,,,,,,,,,,
72,the sun ,0.0,6,thesaurus.topn3,0.094,sun  star sunlight ,thesaurus.topn3.replace,0.0767, star sunlight ,word2vec.topn3,0.0163,sun sunlight sunshine sun  ,word2vec.topn3.replace,0.0111,sunlight sunshine sun  ,sensedisambiguation,0.0053,the sun sunlight ,glove.topn3,0.0001,sun bright sky ,,,,,,,,,,,,
73,neil young ,0.239,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,kiwi ,0.0145,2,word2vec.topn3,0.0256,kiwi kiwifruit ,wordnet.topn3,0.0203,kiwi Actinidia deliciosa kiwi fruit ,,,,,,,,,,,,,,,,,,,,,,,,
75,tornadoes ,0.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,raised gardens ,0.2807,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,bobcat ,0.0732,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,dieting ,0.0,8,wiki.topn3,0.0075,dieting food faddism junk food macrobiotic diet Dieting ,wiki.topn3.replace,0.0071,food faddism junk food macrobiotic diet Dieting ,thesaurus.topn3.replace,0.0069, dietary fast ,thesaurus.topn3,0.0065,dieting  dietary fast ,word2vec.topn3,0.0006,dieting weight loss dieters ,glove.topn3,0.0005,dieting dieters overeating ,word2vec.topn3.replace,0.0003,weight loss dieters ,glove.topn3.replace,0.0003,dieters overeating ,,,,,,
79,voyager ,0.0022,6,tagmee.topn3,0.3683,voyager Voyager program ,conceptluster.topn5.3.bm25.rm3,0.3683,voyager voyager program ,tagmee.topn3.replace,0.3363,Voyager program ,wiki.topn3,0.2423,voyager missions to uranus missions to neptune missions to saturn Voyager program ,wiki.topn3.replace,0.2248,missions to uranus missions to neptune missions to saturn Voyager program ,word2vec.topn3,0.0064,voyager explorer ,,,,,,,,,,,,
80,keyboard reviews ,0.0737,1,relevancefeedback.topn10.bm25.rm3,0.08199999999999999,keyboard reviews review ,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,afghanistan ,0.0672,2,anchor.topn3,0.0988,afghanistan junbish  عالی      present  ,anchor.topn3.replace,0.0784,junbish  عالی      present  ,,,,,,,,,,,,,,,,,,,,,,,,
82,joints ,0.0342,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,memory ,0.0,6,glove.topn3,0.0568,memory remembering ,wordnet.topn3,0.051,memory retentivity remembering computer storage ,conceptnet.topn3,0.0361,memory remembering something brain ,conceptnet.topn3.replace,0.0242,remembering something brain ,word2vec.topn3,0.0004,memory recollection ,wordnet.topn3.replace,0.0004,remembering computer storage store ,,,,,,,,,,,,
84,continental plates ,0.3612,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,milwaukee journal sentinel ,0.0298,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,bart sf ,0.4165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,who invented music ,0.0098,1,tagmee.topn3,0.0208,invented music The Who The Music ,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,forearm pain ,0.0837,1,glove.topn3,0.0885,forearm pain elbow wrist discomfort suffering ,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,ocd ,0.2819,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,mgb ,0.1616,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,er tv show ,0.0083,5,conceptluster.topn5.3.bm25.rm3,0.1714,er tv show er tv series television program ,tagmee.topn3,0.1396,er tv show ER  TV series  ER  TV series  Television program ,tagmee.topn3.replace,0.1331,ER  TV series  ER  TV series  Television program ,wordnet.topn3,0.0805,er tv show erbium Er ER video television set boob tube prove depict express ,conceptnet.topn3,0.0375,er tv show an abbreviation for television ,,,,,,,,,,,,,,,
92,the wall ,0.0,2,word2vec.topn3,0.0008,wall wall  brick ,word2vec.topn3.replace,0.0005,wall  brick ,,,,,,,,,,,,,,,,,,,,,,,,
93,raffles ,0.0029,4,conceptnet.topn3,0.0167,raffles Sir Thomas Stamford Raffles rafflesian ,wordnet.topn3,0.0135,raffles raffle off Sir Thomas Stamford Raffles Sir Thomas Raffles ,wordnet.topn3.replace,0.012,Sir Thomas Raffles raffle off Sir Thomas Stamford Raffles ,conceptnet.topn3.replace,0.0119,Sir Thomas Stamford Raffles rafflesian ,,,,,,,,,,,,,,,,,,
94,titan ,0.0073,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,earn money at home ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,rice ,0.0778,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,south africa ,0.0037,3,wordnet.topn3,0.033,south africa in the south S to the south ,wiki.topn3.replace,0.0061,afrikaans speaking countries and territories south africa bantu countries and territories South Africa ,wiki.topn3,0.0057,south africa afrikaans speaking countries and territories south africa bantu countries and territories South Africa ,,,,,,,,,,,,,,,,,,,,,
98,sat ,0.1653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,satellite ,0.0271,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,rincon puerto rico ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,ritz carlton lake las vegas ,0.0792,3,stem.trunc5,0.1351,ritz carlt lake las vegas ,stem.trunc4,0.1268,ritz carl lake las vega ,sensedisambiguation,0.0844,ritz carlton lake las louisiana vegas vega ,,,,,,,,,,,,,,,,,,,,,
102,fickle creek farm ,0.0051,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,madam cj walker ,0.0804,5,tagmee.topn3.replace,0.1637,Madam C  J  Walker ,thesaurus.topn3,0.1017,madam cj walker  madame Frau   hiker pedestrian ,wiki.topn3,0.0913,madam cj walker my bondagand my freedom negro academy legal rights association Madam C  J  Walker ,tagmee.topn3,0.0859,madam cj walker Madam C  J  Walker ,conceptluster.topn5.3.bm25.rm3,0.0859,madam cj walker madam c  j  walker ,,,,,,,,,,,,,,,
104,indiana child support ,0.0356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,sonoma county medical services ,0.0915,1,sensedisambiguation,0.0943,sonoma county medical services servicing ,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,universal animal cuts reviews ,0.1051,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,cass county missouri ,0.1894,2,anchor.topn3,0.4632,cass county missouri pokagon  elsmerensi wabedo missouri histori missouri educ missouri economi ,termluster.topn5.3.bm25.rm3,0.2412,cass county missouri citi counti histori township street school cass citi counti ,,,,,,,,,,,,,,,,,,,,,,,,
108,ralph owen brewster ,0.5146,1,relevancefeedback.topn10.bm25.rm3,0.5259,ralph owen brewster hous main ,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,mayo clinic jacksonville fl ,0.0017,9,tagmee.topn3.replace,0.0057,Mayo Clinic Jacksonville  Florida ,anchor.topn3,0.0048,mayo clinic jacksonville fl uscg   surfman        aace  care br administrative br florida histori florida    a b ,wiki.topn3,0.0042,mayo clinic jacksonville fl hospitals in minnesota rochester  minnesota schools of medicine in minnesota Mayo Clinic populated places on the st  johns river jacksonville  florida cities in duval county  florida Jacksonville  Florida ,wiki.topn3.replace,0.004,hospitals in minnesota rochester  minnesota schools of medicine in minnesota Mayo Clinic populated places on the st  johns river jacksonville  florida cities in duval county  florida Jacksonville  Florida ,thesaurus.topn3,0.0033,mayo clinic jacksonville fl   hospital dispensary   ,sensedisambiguation.replace,0.0025,mayonnaise clinic jacksonville florida ,tagmee.topn3,0.0023,mayo clinic jacksonville fl Mayo Clinic Jacksonville  Florida ,conceptluster.topn5.3.bm25.rm3,0.0023,mayo clinic jacksonville fl jacksonville florida mayo clinic ,stem.paicehusk,0.0018,mayo clin jacksonvil fl ,,,
110,map of brazil ,0.0225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,lymphoma in dogs ,0.3392,2,relevancefeedback.topn10.bm25.rm3,0.3468,lymphoma in dogs dog ,docluster.topn10.3.bm25.rm3,0.3468,lymphoma in dogs dog ,,,,,,,,,,,,,,,,,,,,,,,,
112,kenmore gas water heater ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,hp mini      ,0.0026,1,termluster.topn5.3.bm25.rm3,0.0027,hp mini      comment new note ,,,,,,,,,,,,,,,,,,,,,,,,,,,
