qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
114,adobe indian houses ,0.0035,4,wiki.topn3,0.0488,adobe indian houses buildings and structures by construction material adobe buildings and structures pueblos Adobe indigenous peoples in the united states native american topics native american history Native Americans in the United States houses residential area building House ,word2vec.topn3,0.0423,adobe indian houses mudbrick india non indian homes dwellings ,wiki.topn3.replace,0.0263,buildings and structures by construction material adobe buildings and structures pueblos Adobe indigenous peoples in the united states native american topics native american history Native Americans in the United States houses residential area building House ,thesaurus.topn3,0.0063,adobe indian houses  brick clay  American Indian Amerind  apartment box ,,,,,,,,,,,,,,,,,,
115,pacific northwest laboratory ,0.0179,2,tagmee.topn3,0.0192,pacific northwest laboratory Pacific Northwest ,conceptluster.topn5.3.bm25.rm3,0.0192,pacific northwest laboratory pacific northwest ,,,,,,,,,,,,,,,,,,,,,,,,
116,california franchise tax board ,0.0572,1,sensedisambiguation,0.0751,california franchise tax board display panel ,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,dangers of asbestos ,0.2131,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,poem in your pocket day ,0.1061,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,interview thank you ,0.1336,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,tv on computer ,0.045,2,tagmee.topn3,0.05,tv computer Television Computer ,conceptluster.topn5.3.bm25.rm3,0.05,tv computer television computer ,,,,,,,,,,,,,,,,,,,,,,,,
121,sit and reach test ,0.1224,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,culpeper national cemetery ,0.1071,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,von willebrand disease ,0.2987,2,relevancefeedback.topn10.bm25.rm3,0.3147,von willebrand disease blood diseas ,docluster.topn10.3.bm25.rm3,0.3147,von willebrand disease blood diseas ,,,,,,,,,,,,,,,,,,,,,,,,
124,bowflex power pro ,0.0486,3,tagmee.topn3,0.0636,bowflex power pro Bowflex ,conceptluster.topn5.3.bm25.rm3,0.0636,bowflex power pro bowflex ,wiki.topn3,0.0618,bowflex power pro activity tracker shapeways channel stuffing Bowflex ,,,,,,,,,,,,,,,,,,,,,
125,butter and margarine ,0.0686,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,us capitol map ,0.0,5,thesaurus.topn3,0.2,us capitol map  America Columbia  center dome  design drawing ,thesaurus.topn3.replace,0.0667, America Columbia  center dome  design drawing ,word2vec.topn3,0.0027,us capitol map ourselves me us  capital ,tagmee.topn3,0.0009,us capitol map Washington  D C  ,conceptluster.topn5.3.bm25.rm3,0.0009,us capitol map washington d c ,,,,,,,,,,,,,,,
127,dutchess county tourism ,0.3473,5,termluster.topn5.3.bm25.rm3,0.3669,dutchess county tourism calendar counti event york vallei travel calendar counti dutchess ,relevancefeedback.topn10.bm25.rm3,0.3608,dutchess county tourism counti advertis contact ,conceptnet.topn3,0.3557,dutchess county tourism dutchess county Wight tourist ,tagmee.topn3,0.3534,dutchess county tourism Dutchess County  New York ,conceptluster.topn5.3.bm25.rm3,0.3534,dutchess county tourism dutchess county new york ,,,,,,,,,,,,,,,
128,atypical squamous cells ,0.068,7,thesaurus.topn3,0.1969,atypical squamous cells  abnormal anomalous   bacterium egg ,sensedisambiguation,0.1231,atypical squamous cells cellular telephone ,sensedisambiguation.replace,0.1154,atypical squamous cellular telephone ,tagmee.topn3,0.0904,atypical squamous cells Atypical pneumonia Squamous epithelial cell ,conceptluster.topn5.3.bm25.rm3,0.0904,atypical squamous cells squamous epithelial cell atypical pneumonia ,wordnet.topn3,0.0792,atypical squamous cells untypical irregular electric cell cellular phone ,thesaurus.topn3.replace,0.0754, abnormal anomalous squamous  bacterium egg ,,,,,,,,,
129,iowa food stamp program ,0.0083,1,stem.trunc5,0.0118,iowa food stamp progr ,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,fact on uranus ,0.3535,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,equal opportunity employer ,0.0012,2,word2vec.topn3,0.0014,equal opportunity employer unequal comparable chance oppurtunity employee ,word2vec.topn3.replace,0.0013,unequal comparable chance oppurtunity employee ,,,,,,,,,,,,,,,,,,,,,,,,
132,mothers day songs ,0.1046,2,relevancefeedback.topn10.bm25.rm3,0.1053,mothers day songs i mother love song dai ,docluster.topn10.3.bm25.rm3,0.1053,mothers day songs mother i ,,,,,,,,,,,,,,,,,,,,,,,,
133,all men are created equal ,0.1224,3,relevancefeedback.topn10.bm25.rm3,0.192,all men are created equal declar jefferson student i ,docluster.topn10.3.bm25.rm3,0.1686,all men are created equal declar ,termluster.topn5.3.bm25.rm3,0.1331,men created equal also american articl year wikipedia truth also american articl ,,,,,,,,,,,,,,,,,,,,,
134,electronic skeet shoot ,0.0026,2,wiki.topn3,0.0354,electronic skeet shoot spaccavern spacechase demon attack Skeet Shoot ,wiki.topn3.replace,0.0125,spaccavern spacechase demon attack Skeet Shoot ,,,,,,,,,,,,,,,,,,,,,,,,
135,source of the nile ,0.0014,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,american military university ,0.0081,3,tagmee.topn3,0.0568,american military university American Public University System ,conceptluster.topn5.3.bm25.rm3,0.0568,american military university american public university system ,tagmee.topn3.replace,0.0377,American Public University System ,,,,,,,,,,,,,,,,,,,,,
137,rock and gem shows ,0.1166,1,docluster.topn10.3.bm25.rm3,0.1313,rock and gem shows miner show    ,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,jax chemical company ,0.154,3,sensedisambiguation,0.4215,jax chemical company ship s company ,docluster.topn10.3.bm25.rm3,0.1872,jax chemical company product ,sensedisambiguation.replace,0.16399999999999998,jax chemical ship s company ,,,,,,,,,,,,,,,,,,,,,
139,rocky mountain news ,0.0873,4,wiki.topn3.replace,0.2147,defunct newspapers of colorado thdenver post media in denver  colorado Rocky Mountain News ,wiki.topn3,0.1753,rocky mountain news defunct newspapers of colorado thdenver post media in denver  colorado Rocky Mountain News ,relevancefeedback.topn10.bm25.rm3,0.0998,rocky mountain news new rocki ,docluster.topn10.3.bm25.rm3,0.0998,rocky mountain news rocki new ,,,,,,,,,,,,,,,,,,
140,east ridge high school ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,va dmv registration ,0.0872,3,sensedisambiguation.replace,0.1982,virginia dmv registration ,sensedisambiguation,0.0913,va virginia dmv registration ,stem.lovins,0.0909,va dmv register ,,,,,,,,,,,,,,,,,,,,,
142,illinois state tax ,0.1178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,arkadelphia health club ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,trombone for sale ,0.1012,1,conceptnet.topn3,0.1289,trombone sale discount price ,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,vines for shade ,0.1546,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,sherwood regional library ,0.1366,1,docluster.topn10.3.bm25.rm3,0.2743,sherwood regional library librari group ,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,tangible personal property tax ,0.2446,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,martha stewart and imclone ,0.2896,7,wordnet.topn3.replace,0.3131,martha Dugald Stewart Jimmy Stewart imclone ,wiki.topn3.replace,0.3069,money  magazine  amanda hesser brandweek Martha Stewart health maintenancorganization corporatraid pharmaceutical research and manufacturers of america ImClone Systems ,anchor.topn3,0.306,martha stewart imclone emmli parsahi forsøgsdyren panchuck skynnard bhob    sp ,wordnet.topn3,0.3049,martha stewart imclone James Maitland Stewart Dugald Stewart ,wiki.topn3,0.2975,martha stewart imclone money  magazine  amanda hesser brandweek Martha Stewart health maintenancorganization corporatraid pharmaceutical research and manufacturers of america ImClone Systems ,tagmee.topn3,0.2918,martha stewart imclone Martha Stewart ImClone Systems ,conceptluster.topn5.3.bm25.rm3,0.2918,martha stewart imclone imclone systems martha stewart ,,,,,,,,,
149,uplift at yellowstone national park ,0.1868,6,wordnet.topn3,0.2957,uplift yellowstone national park upthrust lift up Yellowstone River internal interior car park parking lot common ,conceptnet.topn3,0.2225,uplift yellowstone national park Montana flag ,word2vec.topn3,0.2188,uplift yellowstone national park yosemite supervolcano super volcano regional international local parkland ,anchor.topn3,0.2112,uplift yellowstone national park sub cambrian party br plan lz  sozialisten national noodzaak paris  span   magee   박찬욱  phokasomboun ,sensedisambiguation,0.1905,uplift at yellowstone national park parking lot ,sensedisambiguation.replace,0.1884,uplift at yellowstone national parking lot ,,,,,,,,,,,,
150,tn highway patrol ,0.0066,5,anchor.topn3,0.0093,tn highway patrol dimap t n s  tennessee educ highway n h     highway ah    rio santos      foot nuship vessels   ,relevancefeedback.topn10.bm25.rm3,0.0083,tn highway patrol safeti          ,docluster.topn10.3.bm25.rm3,0.0083,tn highway patrol safeti ,wordnet.topn3,0.0069,tn highway patrol TN Tennessee Volunteer State main road police ,conceptnet.topn3,0.0068,tn highway patrol Tennessee bn mtl ,,,,,,,,,,,,,,,
151,   b ,0.0,7,docluster.topn10.3.bm25.rm3,0.1019,   b plan contribut ,wiki.topn3,0.0187,   b     plan federal employees retirement system roth     k      b  ,word2vec.topn3,0.0157,   b participant directed retirement savings ,wiki.topn3.replace,0.0149,    plan federal employees retirement system roth     k      b  ,relevancefeedback.topn10.bm25.rm3,0.0118,   b plan roth tax loan contribut you ,termluster.topn5.3.bm25.rm3,0.0085,   b account contribut distribut ,word2vec.topn3.replace,0.0027,participant directed retirement savings ,,,,,,,,,
152,angular cheilitis ,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,pocono ,0.2985,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,figs ,0.0283,1,wordnet.topn3,0.1042,figs Ficus carica Libyan Islamic Fighting Group ,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,last supper painting ,0.2565,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,university of phoenix ,0.151,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,the beatles rock band ,0.2048,7,sensedisambiguation,0.4041,the beatles rock band set ,tagmee.topn3.replace,0.3637,The Beatles  album  The Beatles  Rock Band ,tagmee.topn3,0.3158,beatles rock band The Beatles  album  The Beatles  Rock Band ,conceptluster.topn5.3.bm25.rm3,0.3158,beatles rock band beatles   rock band beatles album ,glove.topn3,0.3008,beatles rock band lennon mccartney band pop album ,stem.lovins,0.2466,th beatl rock band ,wiki.topn3,0.228,beatles rock band a hard day s night  album  rubber soul pleaspleasme The Beatles  album  list of songs in thbeatles  rock band thbeatles  thoriginal studio recordings  thbeatles in mono The Beatles  Rock Band ,,,,,,,,,
158,septic system design ,0.4379,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,porterville ,0.3734,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,grilling ,0.0089,1,conceptnet.topn3,0.0424,grilling cooking a good way too cook ,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,furniture for small spaces ,0.0201,2,sensedisambiguation,0.0367,furniture for small spaces space ,termluster.topn5.3.bm25.rm3,0.021,furniture small spaces tabl store space color find furnitur tabl store small ,,,,,,,,,,,,,,,,,,,,,,,,
162,dnr ,0.0078,1,conceptnet.topn3,0.1027,dnr medicine living will ,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,arkansas ,0.0302,2,conceptnet.topn3,0.123,arkansas a state ,wordnet.topn3,0.034,arkansas AR Arkansas River Land of Opportunity ,,,,,,,,,,,,,,,,,,,,,,,,
164,hobby stores ,0.0216,1,termluster.topn5.3.bm25.rm3,0.0387,hobby stores suppli store shop suppli shop sale ,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,blue throated hummingbird ,0.0005,5,sensedisambiguation,0.0015,blue bluing throated hummingbird ,tagmee.topn3,0.001,blue throated hummingbird Blue throated mountaingem ,conceptluster.topn5.3.bm25.rm3,0.001,blue throated hummingbird blue throated mountaingem ,sensedisambiguation.replace,0.0009,bluing throated hummingbird ,stem.lovins,0.0009,blu throat hummingbird ,,,,,,,,,,,,,,,
166,computer programming ,0.0,6,word2vec.topn3,0.0079,computer programming software programmers ,stem.porter,0.0016,comput programm ,word2vec.topn3.replace,0.0007,software programmers ,docluster.topn10.3.bm25.rm3,0.0007,computer programming program us ,wordnet.topn3,0.0002,computer programming estimator computing device computing machine programme scheduling ,conceptnet.topn3,0.0002,computer programming call by reference library ,,,,,,,,,,,,
167,barbados ,0.0304,2,wiki.topn3.replace,0.0331,islands of barbados barbados saint lucia Barbados ,wiki.topn3,0.0329,barbados islands of barbados barbados saint lucia Barbados ,,,,,,,,,,,,,,,,,,,,,,,,
168,lipoma ,0.3197,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,battles in the civil war ,0.0947,1,conceptnet.topn3,0.1049,battles civil war battle ,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,scooters ,0.0016,3,sensedisambiguation,0.0398,scooters water scooter ,sensedisambiguation.replace,0.0379,water scooter ,conceptnet.topn3,0.0025,scooters a sporting goods store ,,,,,,,,,,,,,,,,,,,,,
171,ron howard ,0.233,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,becoming a paralegal ,0.2325,2,conceptnet.topn3,0.2541,becoming paralegal flattering legal assistant ,tagmee.topn3.replace,0.2341,Paralegal ,,,,,,,,,,,,,,,,,,,,,,,,
173,hip fractures ,0.3268,2,relevancefeedback.topn10.bm25.rm3,0.3275,hip fractures fractur ,docluster.topn10.3.bm25.rm3,0.3275,hip fractures fractur ,,,,,,,,,,,,,,,,,,,,,,,,
174,rock art ,0.0064,5,anchor.topn3,0.2411,rock art  rock rock cloverdal bròna art copyright ibuir auroracetu ,anchor.topn3.replace,0.1564, rock rock cloverdal bròna art copyright ibuir auroracetu ,wiki.topn3,0.0942,rock art cavpainting petroglyph caves containing pictograms Rock art ,wiki.topn3.replace,0.0827,cavpainting petroglyph caves containing pictograms Rock art ,conceptnet.topn3,0.0785,rock art music stone painting paint paintings ,,,,,,,,,,,,,,,
175,signs of a heartattack ,0.0291,8,termluster.topn5.3.bm25.rm3,0.0945,signs heartattack attack heart symptom ,tagmee.topn3,0.0903,signs heartattack Medical sign Myocardial infarction ,conceptluster.topn5.3.bm25.rm3,0.0903,signs heartattack myocardial infarction medical sign ,tagmee.topn3.replace,0.0704,Medical sign Myocardial infarction ,stem.trunc5,0.0572,signs of a heart ,docluster.topn10.3.bm25.rm3,0.0484,signs of a heartattack heart ,wordnet.topn3,0.0425,signs heartattack bless ratify sign up ,anchor.topn3,0.0312,signs heartattack dragons  assassin miekal exmagicor ,,,,,,
176,weather strip ,0.0012,5,tagmee.topn3.replace,0.5016,Weatherstripping ,tagmee.topn3,0.1001,weather strip Weatherstripping ,conceptluster.topn5.3.bm25.rm3,0.1001,weather strip weatherstripping ,termluster.topn5.3.bm25.rm3,0.003,weather strip strip door weather door ,wiki.topn3,0.0023,weather strip cryogenic deflashing heat fusion melt  manufacturing  Weatherstripping ,,,,,,,,,,,,,,,
177,best long term care insurance ,0.0214,3,word2vec.topn3,0.0356,best long term care insurance worst finest easiest short lengthy long  phrase care  premiums ,relevancefeedback.topn10.bm25.rm3,0.0273,best long term care insurance insur you ,docluster.topn10.3.bm25.rm3,0.0273,best long term care insurance you insur ,,,,,,,,,,,,,,,,,,,,,
178,pork tenderloin ,0.0811,1,relevancefeedback.topn10.bm25.rm3,0.083,pork tenderloin recip ,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,black history ,0.0032,1,docluster.topn10.3.bm25.rm3,0.0036,black history american ,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,newyork hotels ,0.0,3,sensedisambiguation,0.0043,newyork hotels hotel ,anchor.topn3,0.0008,newyork hotels nordze lubliana ckr ,thesaurus.topn3,0.0002,newyork hotels   hostel house ,,,,,,,,,,,,,,,,,,,,,
181,old coins ,0.0115,4,conceptnet.topn3,0.0173,old coins age record ancient change money small metal disks ,anchor.topn3,0.013,old coins neredmet old timonu  old ,anchor.topn3.replace,0.0123,neredmet old timonu  old coins ,termluster.topn5.3.bm25.rm3,0.0119,old coins american ancient apprais world valu two ,,,,,,,,,,,,,,,,,,
182,quit smoking ,0.1039,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,kansas city mo ,0.0042,6,wiki.topn3,0.3467,kansas city mo kansas missouri nebraska Kansas cities in platte county  missouri cities in cass county  missouri cities in jackson county  missouri Kansas City  Missouri ,wiki.topn3.replace,0.3317,kansas missouri nebraska Kansas cities in platte county  missouri cities in cass county  missouri cities in jackson county  missouri Kansas City  Missouri ,tagmee.topn3.replace,0.08800000000000001,Kansas Kansas City  Missouri ,wordnet.topn3,0.0276,kansas city mo Kaw River urban center metropolis bit Mo minute ,wordnet.topn3.replace,0.0258,Sunflower State Kaw River metropolis urban center bit Show Me State minute ,conceptnet.topn3,0.0176,kansas city mo the United States Dodge City capital town Missouri molybdenum ,,,,,,,,,,,,
184,civil right movement ,0.1772,4,tagmee.topn3,0.3827,civil right movement Civil and political rights Freedom of movement ,conceptluster.topn5.3.bm25.rm3,0.3827,civil right movement freedom movement civil political rights ,tagmee.topn3.replace,0.3691,Civil and political rights Freedom of movement ,termluster.topn5.3.bm25.rm3,0.3095,civil right movement african american articl african american articl african american articl ,,,,,,,,,,,,,,,,,,
185,credit report ,0.0146,2,tagmee.topn3,0.0279,credit report Credit history ,conceptluster.topn5.3.bm25.rm3,0.0279,credit report credit history ,,,,,,,,,,,,,,,,,,,,,,,,
186,unc ,0.0516,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,vanuatu ,0.0967,3,wordnet.topn3,0.2211,vanuatu Republic of Vanuatu New Hebrides ,wordnet.topn3.replace,0.1811,New Hebrides Republic of Vanuatu ,termluster.topn5.3.bm25.rm3,0.1534,vanuatu c bc lone photo ,,,,,,,,,,,,,,,,,,,,,
188,internet phone service ,0.0014,1,sensedisambiguation,0.0029,internet phone telephone service servicing ,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,gs pay rate ,0.011,1,sensedisambiguation,0.0184,gs thousand pay wage rate ,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,brooks brothers clearance ,0.1014,3,tagmee.topn3,0.1402,brooks brothers clearance Brooks Brothers ,conceptluster.topn5.3.bm25.rm3,0.1402,brooks brothers clearance brooks brothers ,docluster.topn10.3.bm25.rm3,0.1163,brooks brothers clearance coupon brook ,,,,,,,,,,,,,,,,,,,,,
191,churchill downs ,0.1032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,condos in florida ,0.0094,4,docluster.topn10.3.bm25.rm3,0.0131,condos in florida condo ,tagmee.topn3,0.0122,condos florida Condominium Florida ,conceptluster.topn5.3.bm25.rm3,0.0122,condos florida condominium florida ,sensedisambiguation,0.0116,condos condominium in florida ,,,,,,,,,,,,,,,,,,
193,dog clean up bags ,0.0731,3,tagmee.topn3,0.1046,dog clean bags Dog ,conceptluster.topn5.3.bm25.rm3,0.1046,dog clean bags dog ,relevancefeedback.topn10.bm25.rm3,0.09,dog clean up bags bag ,,,,,,,,,,,,,,,,,,,,,
194,designer dog breeds ,0.885,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,pressure washers ,0.0077,3,termluster.topn5.3.bm25.rm3,0.0304,pressure washers water wash system review psi profession ,thesaurus.topn3,0.0113,pressure washers  burden squeeze  accent briar ,relevancefeedback.topn10.bm25.rm3,0.0079,pressure washers washer pressur kranzl ,,,,,,,,,,,,,,,,,,,,,
196,sore throat ,0.259,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,idaho state flower ,0.0027,10,wiki.topn3,0.0799,idaho state flower idaho montana montana Idaho john bellenden ker gawler magnolia campbellii list of tregenera Floral emblem ,wiki.topn3.replace,0.0767,idaho montana montana Idaho john bellenden ker gawler magnolia campbellii list of tregenera Floral emblem ,conceptnet.topn3,0.0626,idaho state flower ID United States plant An iris ,anchor.topn3,0.0548,idaho state flower idaho histori  br id idaho     daflepur  hyperaggress hsiwan mims flow capital    really   ,conceptnet.topn3.replace,0.0488,ID United States state plant An iris ,tagmee.topn3.replace,0.0441,Idaho Floral emblem ,glove.topn3.replace,0.0206,boise wyoming federal floral ,anchor.topn3.replace,0.0201,idaho histori  br id idaho     daflepur  hyperaggress hsiwan mims flow capital    really   ,word2vec.topn3.replace,0.0096,boise wyoming utah federal blossoms petals ,stem.trunc5,0.0034,idaho state flowe 
198,indiana state fairgrounds ,0.2047,3,termluster.topn5.3.bm25.rm3,0.2643,indiana state fairgrounds event fairground show event fairground indiana state skate show ,relevancefeedback.topn10.bm25.rm3,0.2488,indiana state fairgrounds skate coliseum fairground ,docluster.topn10.3.bm25.rm3,0.2056,indiana state fairgrounds fairground ,,,,,,,,,,,,,,,,,,,,,
199,fybromyalgia ,0.0133,4,tagmee.topn3,0.2048,fybromyalgia Fibromyalgia ,conceptluster.topn5.3.bm25.rm3,0.2048,fybromyalgia fibromyalgia ,tagmee.topn3.replace,0.1861,Fibromyalgia ,wiki.topn3,0.0164,fybromyalgia urinary incontinence chronic pain comorbidity Fibromyalgia ,,,,,,,,,,,,,,,,,,
200,ontario california airport ,0.0732,3,wiki.topn3,0.3795,ontario california airport garden grove  california corona  california tustin  california Ontario  California macintosh internals apple inc  peripherals runway Airport ,thesaurus.topn3,0.2963,ontario california airport   Bear Flag State Cal  airfield airstrip ,word2vec.topn3,0.0769,ontario california airport alberta manitoba saskatchewan florida texas arizona airfield ,,,,,,,,,,,,,,,,,,,,,
