qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
754,domestic adoption laws ,0.0637,2,docluster.topn10.3.bm25,0.1003,domestic adoption laws law adopt ,onfields.topn3.10.4.0.25.bm25,0.0869,"{'law': 2, 'domest': 2, 'adopt': 2, 'child': 1.81, 'convers': 1.3, 'famili': 1.203, 'provis': 1.174, 'dpc': 1.152, 'esign': 1.097, 'sec99': 1.052, 'pl1782002': 1.052, 'entiti': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Scottish Highland Games ,0.4699,4,termluster.topn5.3.bm25,0.6187,scottish highland games game highland competit game scottish competit scottish highland competit ,tagmee.topn3,0.4923,scottish highland games Scottish people Highland games Highland games ,conceptluster.topn5.3.bm25,0.4741,scottish highland games scottish people highland games ,tagmee.topn3.replace,0.4736,Scottish people Highland games Highland games ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Volcanic Activity ,0.3308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Murals ,0.2111,1,docluster.topn10.3.bm25,0.2278,murals mural your ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Embryonic stem cells ,0.6814,2,relevancefeedback.topn10.bm25,0.6884,embryonic stem cells cell ,docluster.topn10.3.bm25,0.6884,embryonic stem cells cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,civil war battle reenactments ,0.314,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,american muslim mosques schools ,0.2298,11,termluster.topn5.3.bm25,0.3804,american muslim mosques schools also muslim center also american center unit peopl part york washington state ,word2vec.topn3,0.3691,american muslim mosques schools british america islamic moslem masjids colleges universities ,stem.krovetz,0.3093,america muslim mosque school ,wiki.topn3.replace,0.3082,american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,conceptnet.topn3,0.3076,american muslim mosques schools dollar ijma places to learn things an eraser classrooms ,wiki.topn3,0.3051,american muslim mosques schools american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,tagmee.topn3,0.2849,american muslim mosques schools Americans Islam in the United States Muslim Mosque Madhhab ,conceptluster.topn5.3.bm25,0.2849,american muslim mosques schools muslim islam united states madhhab americans mosque ,wordnet.topn3,0.2827,american muslim mosques schools American English American language Islamic Moslem schooltime school day train ,tagmee.topn3.replace,0.2824,Americans Islam in the United States Muslim Mosque Madhhab ,rm3.topn10.10.0.5.bm25,0.2556,school america saudi wahhabi american mosqu muslim islam my religion he ,,,,,,,,,,,,,,,,,,,,,
761,Problems of Hmong Immigrants ,0.5638,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,History of Physicians in America ,0.025,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Hunting deaths ,0.1228,2,glove.topn3,0.3576,hunting deaths hunters fatalities ,glove.topn3.replace,0.1683,hunters fatalities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Increase mass transit use ,0.1246,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,ephedra ma huang deaths ,0.4654,9,thesaurus.topn3,0.5031,ephedra huang deaths    afterlife annihilation ,termluster.topn5.3.bm25,0.4989,ephedra huang deaths advers case contain advers case contain supplement public product ,relevancefeedback.topn10.bm25,0.4974,ephedra ma huang deaths ephedrin drug heart product supplement ,glove.topn3,0.4971,ephedra huang deaths ephedrine supplements cheng yu fatalities ,rm3.topn10.10.0.5.bm25,0.4957,huang ma herbal ephedrin drug ephedra death supplement heart dietari advers caffein fda ,tagmee.topn3,0.4859,ephedra huang deaths Ephedra sinica Death ,conceptluster.topn5.3.bm25,0.4859,ephedra huang deaths death ephedra sinica ,docluster.topn10.3.bm25,0.4732,ephedra ma huang deaths ephedrin supplement ,sensedisambiguation,0.4695,ephedra ma huang deaths end ,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,diamond smuggling ,0.4403,9,bertqe.topn10.bm25,0.6129,"{'diamond smuggling': 1.5, 'smuggling diamonds nearly': 1.0, 'physical smuggling diamonds': 0.923076923076923, 'diamond smuggling  b   b  b worthwhile': 0.7692307692307692, 'illicit trade  b   p   p  diamond smuggling': 0.6153846153846153, 'diamonds smuggled sierra leone': 0.4615384615384615} ",rm3.topn10.10.0.5.bm25,0.5816,sierra mine diamond war conflict leon smuggl market origin countri trade ,onfields.topn3.10.4.0.25.bm25,0.5506,"{'smuggl': 2, 'diamond': 2, 'leon': 1.601, 'sierra': 1.601, 'war': 1.319, 'digger': 1.304, 'stone': 1.276, 'legitim': 1.276, 'buyer': 1.248, 'leonean': 1.12, 'cmrrd': 1.064} ",tagmee.topn3,0.5393,diamond smuggling Diamond Blood diamond Smuggling ,conceptluster.topn5.3.bm25,0.5393,diamond smuggling diamond smuggling blood diamond ,wiki.topn3,0.5044,diamond smuggling impact event minerals abrasives semiconductor materials Diamond politics of liberia people extradited from liberia people extradited from sierra leone Blood diamond contraband customs sabotage Smuggling ,termluster.topn5.3.bm25,0.5015,diamond smuggling action address africa year world work ,tagmee.topn3.replace,0.501,Diamond Blood diamond Smuggling ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.bm25,0.4511,"{'smuggl': 2, 'diamond': 2, 'beer': 1.452, 'rough': 1.357, 'angola': 1.286, 'yakutia': 1.143, 'ralf': 1.095, 'angolan': 1.071, 'gloom': 1.071, '920908': 1.048, 'endiama': 1.048} ",,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Pharmacist License requirements ,0.4662,1,sensedisambiguation,0.4671,Pharmacist License requirements requirement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Women in state legislatures ,0.1086,4,onfields.topn3.10.4.0.25.bm25,0.224,"{'state': 2, 'in': 2, 'legislatur': 2, 'women': 2, 'elect': 1.627, 'minnesota': 1.523, 'dfl': 1.278, 'hous': 1.186, 'repres': 1.144, 'seat': 1.131, 'woman': 1.108, '6512968590': 1.026, '18006573949': 1.026} ",termluster.topn5.3.bm25,0.1964,women state legislatures legislatur senat state legislatur senat women women state senat ,bertqe.topn10.bm25,0.1583,"{'Women in state legislatures': 1.5, 'women state legislatures  h2   center ': 1.0, 'women minnesota legislature': 0.5714285714285714, 'minnesota legislature women': 0.5, 'legislature women minnesota': 0.4285714285714285, 'rico  state legislatures women': 0.21428571428571425} ",rm3.topn10.10.0.5.bm25,0.1373,state legislatur minnesota diseas york heart legisl elect senat women serv ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Kroll Associates Employees ,0.0074,6,conceptnet.topn3.replace,0.0322,kroll associates a company the office company ,wiki.topn3,0.0145,kroll associates employees general atlantic wilson sonsini goodrich   rosati      in asia Kroll Inc ,conceptnet.topn3,0.0133,kroll associates employees a company the office company ,onfields.topn3.10.4.0.25.bm25,0.0085,"{'employe': 2, 'associ': 2, 'mr': 2.0, 'kroll': 2, 'dr': 1.567, 'christensen': 1.346, 'hutchinson': 1.278, 'nurs': 1.198, 'volkmer': 1.175, 'dont': 1.126, 'merriman': 1.115, 'garthwait': 1.08, 'coverup': 1.074} ",tagmee.topn3,0.0076,kroll associates employees Kroll Inc ,conceptluster.topn5.3.bm25,0.0076,kroll associates employees kroll inc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Kyrgyzstan United States relations ,0.4702,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,deformed leopard frogs ,0.5366,4,termluster.topn5.3.bm25,0.7121,deformed leopard frogs northern limb leopard deform frog northern northern limb leopard ,onfields.topn3.10.4.0.25.bm25,0.6759,"{'leopard': 2, 'deform': 2, 'frog': 2, 'abnorm': 1.369, 'minnesota': 1.262, 'malform': 1.262, 'amphibian': 1.243, 'vermont': 1.223, 'northern': 1.194, 'champlain': 1.126, 'caus': 1.117} ",relevancefeedback.topn10.bm25,0.6294,deformed leopard frogs frog hind deform rana limb ,rm3.topn10.10.0.5.bm25,0.6114,limb frog deform miss northern minnesota leopard amphibian rana hind ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,flag display rules ,0.2818,7,rm3.topn10.10.0.5.bm25,0.4715,school flown staff rule never displai place properti half flag ,bertqe.topn10.bm25,0.4594,"{'flag display rules': 1.5, 'person shall display flag': 1.0, 'display  flag displayed': 0.8888888888888887, 'display  flag': 0.8888888888888887, 'flag may displayed': 0.5555555555555554, 'flag code display': 0.11111111111111083} ",onfields.topn3.10.4.0.25.bm25,0.4544,"{'rule': 2, 'display': 2, 'flag': 2, 'unit': 1.224, 'halfstaff': 1.08, 'usc': 1.078, 'flown': 1.075, 'provis': 1.046, 'pledg': 1.044, 'allegi': 1.035, 'hoist': 1.033, 'advertis': 1.02} ",termluster.topn5.3.bm25,0.3305,flag display rules abov ani anoth unit union uniform ,word2vec.topn3,0.327,flag display rules flag  regulations laws ,relevancefeedback.topn10.bm25,0.3073,flag display rules displai ,word2vec.topn3.replace,0.2973,flag  display regulations laws ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Pennsylvania slot machine gambling ,0.5595,11,rm3.topn10.10.0.5.bm25,0.9457,machin premis citat slot licens pennsylvania liquor license video gambl ,anchor.topn3,0.8337,pennsylvania slot machine gambling pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ ,termluster.topn5.3.bm25,0.8159,pennsylvania slot machine gambling ani case citat bureau charg control three state slot within violat video ,onfields.topn3.10.4.0.25.bm25,0.8079,"{'pennsylvania': 2, 'nt': 2.0, 'slot': 2, 'gambl': 2, 'machin': 2, 'licens': 1.39, 'liquor': 1.128, 'premis': 1.1, 'kratsa': 1.088, 'ebner': 1.044, 'a2d': 1.042, 'forlin': 1.026} ",sensedisambiguation,0.7482,Pennsylvania university of pennsylvania slot machine gambling gamble ,docluster.topn10.3.bm25,0.6448,pennsylvania slot machine gambling machin license ,anchor.topn3.replace,0.6416,pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ machine gambling ,bertqe.topn10.bm25,0.6383,"{'Pennsylvania slot machine gambling': 1.5, 'poker machines  b   u   517 pa 367 ': 1.0, 'machines  i   b   465 a2d 973  pa ': 0.3485603543743078, 'slot machines   nt  78  33 ': 0.21013289036544847, 'available pennsylvania': 0.14285714285714285, 'money slot betting various': 0.058416389811738606} ",relevancefeedback.topn10.bm25,0.5885,pennsylvania slot machine gambling court machin licens license ,conceptnet.topn3,0.5703,pennsylvania slot machine gambling PA an apple tree slot machine ,conceptnet.topn3.replace,0.565,PA an apple tree slot machine machine gambling ,,,,,,,,,,,,,,,,,,,,,
774,Causes of Homelessness ,0.3057,2,tagmee.topn3,0.3413,causes homelessness Paralysis Homelessness ,termluster.topn5.3.bm25,0.3145,causes homelessness would well transit situat shelter servic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Commercial candy makers ,0.4179,3,bertqe.topn10.bm25,0.4921,"{'Commercial candy makers': 1.5, 'candy maker indiana': 1.0, 'candy maker crackers escort crackers': 1.0, 'chef seeitspin cotton candy maker': 0.8441558441558442, 'chocolate  see candy makers': 0.8051948051948051, 'many candy makers boast': 0.7012987012987012} ",tagmee.topn3,0.4611,commercial candy makers Candy ,conceptluster.topn5.3.bm25,0.4611,commercial candy makers candy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Magnet schools success ,0.3178,3,relevancefeedback.topn10.bm25,0.3672,magnet schools success school   student ,sensedisambiguation,0.3348,Magnet schools school success ,docluster.topn10.3.bm25,0.3348,magnet schools success school ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,hybrid alternative fuel cars ,0.3462,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,golden ratio ,0.1284,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Javelinas range and description ,0.5286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Arable land ,0.4222,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Squirrel control and protections ,0.4122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Orange varieties seasons ,0.7065,3,relevancefeedback.topn10.bm25,0.7672,orange varieties seasons crop orang box fruit grapefruit ,rm3.topn10.10.0.5.bm25,0.7378,varieti box fruit million forecast market orang season grapefruit florida percent ,docluster.topn10.3.bm25,0.733,orange varieties seasons fruit box grapefruit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,school mercury poisoning ,0.0702,8,glove.topn3,0.1675,school mercury poisoning students piyanart srivalo contamination ,relevancefeedback.topn10.bm25,0.1208,school mercury poisoning new children mercuri household minnesota ,tagmee.topn3.replace,0.102,Shoaling and schooling Mercury poisoning ,docluster.topn10.3.bm25,0.1007,school mercury poisoning children new mercuri ,termluster.topn5.3.bm25,0.0926,school mercury poisoning center children environment school poison new school new mercuri ,tagmee.topn3,0.0786,school mercury poisoning Shoaling and schooling Mercury poisoning ,conceptluster.topn5.3.bm25,0.0786,school mercury poisoning shoaling schooling mercury poisoning ,wordnet.topn3,0.0705,school mercury poisoning schooltime school day train atomic number    envenom toxic condition ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,mersenne primes ,0.4458,3,docluster.topn10.3.bm25,0.4866,mersenne primes prime number gener ,termluster.topn5.3.bm25,0.4583,mersenne primes prime number number mersenn ,sensedisambiguation,0.4563,mersenne primes prime ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Ivory billed woodpecker ,0.3274,1,termluster.topn5.3.bm25,0.3881,ivory billed woodpecker speci ivori extinct ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Yew trees ,0.4179,1,sensedisambiguation,0.4508,Yew trees tree ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Sunflower Cultivation ,0.6141,2,docluster.topn10.3.bm25,0.6306,sunflower cultivation sunflow ,relevancefeedback.topn10.bm25,0.6249,sunflower cultivation sunflow energi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Reverse mortgages ,0.5735,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,abandoned mine reclamation ,0.2294,1,termluster.topn5.3.bm25,0.2578,abandoned mine reclamation western site reclam abandon coal pennsylvania western site reclaim ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,women s rights in Saudi Arabia ,0.4895,3,bertqe.topn10.bm25,0.5963,"{'womens rights in Saudi Arabia': 1.5, 'saudi arabia  womens ': 1.0, 'women saudi arabia': 1.0, ' women saudi arabia  traditional': 0.6666666666666666, 'saudi law  women': 0.5555555555555555, 'saudi arabian women ': 0.5555555555555555} ",docluster.topn10.3.bm25,0.4923,women s rights in saudi arabia govern ,conceptluster.topn5.3.bm25,0.4896,women  s rights saudi arabia women  s rights saudi arabia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Gullah geechee language culture ,0.4695,11,wiki.topn3,0.5639,gullah geechee language culture gullah language igbo landing africanisms Gullah gullah language igbo landing africanisms Gullah languages of the african diaspora liberian english merico language Gullah language sociology of culture society counterculture Culture ,wiki.topn3.replace,0.5435,gullah language igbo landing africanisms Gullah gullah language igbo landing africanisms Gullah languages of the african diaspora liberian english merico language Gullah language sociology of culture society counterculture Culture ,stem.porter,0.5268,gullah geeche languag cultur ,stem.porter2,0.5268,gullah geeche languag cultur ,termluster.topn5.3.bm25,0.5231,gullah geechee language culture geeche nation countri site nation gullah ,tagmee.topn3.replace,0.5141,Gullah Gullah Gullah language Culture ,anchor.topn3,0.5125,gullah geechee language culture gullah  island binyah ambelau ,anchor.topn3.replace,0.5082,gullah  island binyah ambelau geechee language culture ,conceptluster.topn5.3.bm25,0.5022,gullah geechee language culture gullah language culture ,tagmee.topn3,0.4944,gullah geechee language culture Gullah Gullah Gullah language Culture ,word2vec.topn3,0.4702,gullah geechee language culture langauge traditions ,,,,,,,,,,,,,,,,,,,,,
792,Social Security means test ,0.1308,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Bagpipe Bands ,0.3595,2,tagmee.topn3,0.3665,bagpipe bands Bagpipes Military band ,conceptluster.topn5.3.bm25,0.3665,bagpipe bands military band bagpipes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,pet therapy ,0.0888,5,conceptnet.topn3,0.2205,pet therapy dog a dog ,tagmee.topn3,0.219,pet therapy Animal assisted therapy ,conceptluster.topn5.3.bm25,0.219,pet therapy animal assisted therapy ,glove.topn3,0.1024,pet therapy dog treatments ,tagmee.topn3.replace,0.0897,Animal assisted therapy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,notable cocker spaniels ,0.0254,18,wiki.topn3.replace,0.1508,labradoodle pointer  dog breed  show dog Cocker Spaniel foxhound basset fauvdbretagne welsh springer spaniel Spaniel ,wiki.topn3,0.1343,notable cocker spaniels labradoodle pointer  dog breed  show dog Cocker Spaniel foxhound basset fauvdbretagne welsh springer spaniel Spaniel ,relevancefeedback.topn10.bm25,0.1065,notable cocker spaniels terrier p dog ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.bm25,0.0958,"{'notabl': 2, 'cocker': 2, 'spaniel': 2, 'stride': 2.0, 'dog': 1.769, 'fred': 1.731, 'dope': 1.269, 'doesnt': 1.192, 'priddl': 1.077, 'newswatch': 1.077, 'drugsnif': 1.077, 'kjorlien': 1.077} ",termluster.topn5.3.bm25,0.0953,notable cocker spaniels english spaniel author titl number english ,docluster.topn10.3.bm25,0.0816,notable cocker spaniels terrier ,rm3.topn10.10.0.5.bm25,0.0771,isbn frank notabl terrier cd owner wise cocker english spaniel dog ,conceptnet.topn3.replace,0.0487,noteworthy far famed luminary cocker spaniel pamper old cocker spaniels ,word2vec.topn3,0.0447,notable cocker spaniels noteworthy noteable note worthy spaniel spaniels ,stem.paicehusk,0.0353,not cock spaniel ,tagmee.topn3.replace,0.0329,Cocker Spaniel Spaniel ,sensedisambiguation.replace,0.0328,noteworthy cocker spaniel spaniel ,word2vec.topn3.replace,0.0322,noteworthy noteable note worthy spaniel spaniels spaniels ,tagmee.topn3,0.0309,notable cocker spaniels Cocker Spaniel Spaniel ,sensedisambiguation,0.0309,notable noteworthy cocker cocker spaniel spaniels spaniel ,conceptluster.topn5.3.bm25,0.0309,notable cocker spaniels spaniel cocker spaniel ,stem.krovetz,0.0264,notable cock spaniel ,stem.lovins,0.0257,not cocker spaniel 
796,Blue Grass Music Festival history ,0.2559,5,tagmee.topn3,0.5186,blue grass music festival history Bluegrass music ,conceptluster.topn5.3.bm25,0.5186,blue grass music festival history bluegrass music ,wiki.topn3,0.4474,blue grass music festival history old time music bluegrass music americana  music  Bluegrass music ,wiki.topn3.replace,0.2946,old time music bluegrass music americana  music  Bluegrass music ,tagmee.topn3.replace,0.2674,Bluegrass music ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,reintroduction of gray wolves ,0.5207,5,rm3.topn10.10.0.5.bm25,0.5698,wolf wolv reintroduct mexico recoveri grai red mexican popul anim ,relevancefeedback.topn10.bm25,0.5277,reintroduction of gray wolves wolf wolv ,docluster.topn10.3.bm25,0.5277,reintroduction of gray wolves wolf wolv ,tagmee.topn3,0.5247,reintroduction gray wolves Species reintroduction Gray wolf ,conceptluster.topn5.3.bm25,0.5247,reintroduction gray wolves species reintroduction gray wolf ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Massachusetts textile mills ,0.1673,5,relevancefeedback.topn10.bm25,0.4216,massachusetts textile mills      mill lowel us employ theater ,docluster.topn10.3.bm25,0.4085,massachusetts textile mills lowel employ ,onfields.topn3.10.4.0.25.bm25,0.378,"{'massachusett': 2, 'textil': 2, 'mill': 2, 'lowel': 1.835, 'cotton': 1.304, 'statenew': 1.177, 'england': 1.165, 'york19101920': 1.152, 'workersnorth': 1.127, 'dc19101920': 1.101, '19361940': 1.076, '1933present': 1.076} ",rm3.topn10.10.0.5.bm25,0.3065,park      massachusett histori textil mill lowel industri carolina ,bertqe.topn10.bm25,0.1993,"{'Massachusetts textile mills': 1.5, 'textile mills lowell massachusetts ': 1.0, 'workers  massachusetts  lowell  19101920  a   br   href  cgibinquerys  ppils   filreq   field  subj  band  textilemillworkers  massachusetts  newbedford  19101920     field  collidnclc     textile mill workers  massachusetts  new': 1.0, 'textile mills lowell ': 0.875, 'mill workers  maine  lewiston  19001910  a   br   href  cgibinquerys  ppils   filreq   field  subj  band  textilemillworkers  massachusetts  lowell  19101920     field  collidnclc     textile mill': 0.875, 'room  a    br   href  http  memorylocgovcgibinqueryr  ammemhh   field  docid  lit  ma1443     massachusetts mills  cloth': 0.875} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Animals in Alzheimer s research ,0.2691,2,rm3.topn10.10.0.5.bm25,0.3698,cell genet laboratori diseas function alzheim brain ag ad bear research anim ,termluster.topn5.3.bm25,0.3419,animals alzheimer  s research year well studi year well studi activ affect also ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Ovarian Cancer Treatment ,0.2232,1,bertqe.topn10.bm25,0.2378,"{'Ovarian Cancer Treatment': 1.5, 'treatment ovarian cancer': 0.9887892376681615, 'ovarian cancer may consider surgery': 1.0, 'surgery ovarian cancer may': 0.9982062780269059, 'drugs used treat ovarian': 0.3085201793721974, 'common treatment ovarian': 0.29618834080717493} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
