qid,abstractqueryexpansion,abstractqueryexpansion.bm25.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18,method.19,metric.19,query.19,method.20,metric.20,query.20
701,U S  oil industry history ,0.0133,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Pearl farming ,0.0672,3,thesaurus.topn3,0.2286,pearl farming  jewel nacre  agriculture breeding ,tagmee.topn3.replace,0.0993,Pearl ,wiki.topn3,0.0847,pearl farming pearls jewellery components gemstone Pearl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,U S  against International Criminal Court ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Green party political views ,0.1604,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Iraq foreign debt reduction ,0.2312,6,tagmee.topn3.replace,0.5057,Iraq External debt Debt ,stem.trunc5,0.4266,iraq forei debt reduc ,tagmee.topn3,0.3131,iraq foreign debt reduction Iraq External debt Debt ,wiki.topn3,0.2577,iraq foreign debt reduction iraq mesopotamia syria Iraq internal debt portfolio investment fixed investment External debt credit  finance  collateral  finance  interest Debt ,stem.lovins,0.2433,iraq foreign debt reduc ,stem.paicehusk,0.2433,iraq foreign debt reduc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Controlling type II diabetes ,0.0824,2,sensedisambiguation.replace,0.1215,see type two diabetes ,sensedisambiguation,0.1079,Controlling see type II two diabetes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Aspirin cancer prevention ,0.4113,3,tagmee.topn3.replace,0.4329,Aspirin Cancer Cancer prevention ,conceptluster.topn5.3.bm25.rm3,0.4312,aspirin cancer prevention cancer cancer prevention ,tagmee.topn3,0.4274,aspirin cancer prevention Aspirin Cancer Cancer prevention ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Decorative slate sources ,0.2228,2,sensedisambiguation,0.3822,Decorative cosmetic slate sources source ,word2vec.topn3,0.2702,decorative slate sources ornamental limestone souces references ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Horse racing jockey weight ,0.7715,4,sensedisambiguation,0.7979999999999999,Horse sawhorse racing rush jockey weight weight unit ,sensedisambiguation.replace,0.7964,sawhorse rush jockey weight unit ,stem.porter,0.7906,hors race jockei weight ,stem.porter2,0.7906,hors race jockey weight ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Prostate cancer treatments ,0.5683,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Train station security measures ,0.1604,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Pyramid scheme ,0.5596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Chesapeake Bay Maryland clean ,0.3264,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,License restrictions older drivers ,0.1448,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Schizophrenia drugs ,0.14300000000000002,1,sensedisambiguation,0.1754,Schizophrenia drugs drug ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Spammer arrest sue ,0.0546,12,tagmee.topn3,0.1337,spammer arrest sue Spamming Arrest Lawsuit ,conceptluster.topn5.3.bm25.rm3,0.1337,spammer arrest sue spamming arrest lawsuit ,sensedisambiguation,0.1109,Spammer arrest halt sue ,wordnet.topn3.replace,0.0937,spammer hold back stoppage apprehend Eugene Sue process ,conceptnet.topn3,0.0933,spammer arrest sue sender obstructing justice action ,sensedisambiguation.replace,0.0932,spammer halt sue ,word2vec.topn3,0.0927,spammer arrest sue spam re arrest countersue counter sue suing ,tagmee.topn3.replace,0.0882,Spamming Arrest Lawsuit ,stem.lovins,0.0795,spammer arrest su ,termluster.topn5.3.bm25.rm3,0.0741,spammer arrest sue spam damag ,stem.trunc4,0.0721,spam arre sue ,glove.topn3,0.0653,spammer arrest sue kd   ooooooooooooooooooooooooooooooooooooooo sued suing ,,,,,,,,,,,,,,,,,,,,,,,,
717,Gifted talented student programs ,0.3858,1,docluster.topn10.3.bm25.rm3,0.3876,gifted talented student programs gift ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Controlling acid rain ,0.3376,2,glove.topn3,0.3651,controlling acid rain sulfuric downpour ,docluster.topn10.3.bm25.rm3,0.3415,controlling acid rain state ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Cruise ship damage sea life ,0.083,7,glove.topn3,0.2544,cruise ship damage sea life ship vessel caused ocean waters lives even ,wiki.topn3,0.2445,cruise ship damage sea life cruisline cruise ship templates holland america line Cruise ship plankton oceanography ocean current Marine biology ,wiki.topn3.replace,0.2294,cruisline cruise ship templates holland america line Cruise ship plankton oceanography ocean current Marine biology ,tagmee.topn3,0.1956,cruise ship damage sea life Cruise ship Marine biology ,sensedisambiguation,0.1124,Cruise ship damage wrong sea life liveliness ,anchor.topn3,0.0929,cruise ship damage sea life kommuna   cunnari communa   normalhöhennul  trsa    vega apicomplexan kdblife nánjīng    small ,conceptnet.topn3,0.0922,cruise ship damage sea life captain boat harm corrode ocean water death finite ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Federal welfare reform ,0.2409,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Census data applications ,0.0007,10,thesaurus.topn3,0.0625,census data applications  enumeration poll  dossier evidence  function operation ,wiki.topn3,0.0234,census data applications sampling  statistics  survey methodology censuses Census data warehouse audit trail usability testing Data application software web application graphical user interface Application software ,stem.trunc5,0.0227,censu data appli ,wiki.topn3.replace,0.0159,sampling  statistics  survey methodology censuses Census data warehouse audit trail usability testing Data application software web application graphical user interface Application software ,tagmee.topn3.replace,0.0104,Census Data Application software ,word2vec.topn3,0.0043,census data applications censuses Censuses datasets dataset ,word2vec.topn3.replace,0.004,censuses Censuses datasets dataset applications ,conceptnet.topn3,0.0014,census data applications population information atomic authorization cobol interference ,wordnet.topn3,0.0013,census data applications nose count nosecount datum information applications programme lotion ,thesaurus.topn3.replace,0.0012,enumeration poll  dossier evidence  function operation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Iran terrorism ,0.48,1,word2vec.topn3,0.4814,iran terrorism iranian Iran  iran  terrorist ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Executive privilege ,0.3645,2,docluster.topn10.3.bm25.rm3,0.5108,executive privilege see presid ,relevancefeedback.topn10.bm25.rm3,0.4345,executive privilege privileg presid see attornei ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Iran Contra ,0.2406,2,thesaurus.topn3,0.3174,iran contra   about face again ,docluster.topn10.3.bm25.rm3,0.2424,iran contra casei cia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Low white blood cell count ,0.2181,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Hubble telescope repairs ,0.5845,1,sensedisambiguation,0.5998,Hubble telescope repairs repair ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Church arson ,0.4416,3,wordnet.topn3,0.5781,church arson Christian church church building church service incendiarism fire raising ,thesaurus.topn3,0.5191,church arson  chapel mosque  torching firing ,termluster.topn5.3.bm25.rm3,0.4734,church arson arson assist case assist case charg ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,whales save endangered ,0.4055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Whistle blower department of defense ,0.0034,10,tagmee.topn3.replace,0.1479,Whistleblower United States Department of Defense ,glove.topn3,0.0888,whistle blower department defense blowing whistleblower administration defence ,word2vec.topn3,0.0723,whistle blower department defense swanee whistle blowing dept defence ,glove.topn3.replace,0.0396,blowing whistleblower administration defence ,thesaurus.topn3,0.0291,whistle blower department defense  blare hiss  blowhard blusterer  administration agency  aegis armor ,word2vec.topn3.replace,0.023,swanee whistle blowing dept defence ,tagmee.topn3,0.0079,whistle blower department defense Whistleblower United States Department of Defense ,conceptluster.topn5.3.bm25.rm3,0.0079,whistle blower department defense united states department defense whistleblower ,stem.paicehusk,0.0054,whistl blow depart of defens ,conceptnet.topn3.replace,0.004,whistle blower store section division defense ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Gastric bypass complications ,0.5393,2,tagmee.topn3,0.5435,gastric bypass complications Gastric bypass surgery Complication  medicine ,conceptluster.topn5.3.bm25.rm3,0.5435,gastric bypass complications gastric bypass surgery complication medicine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Kurds history ,0.2474,14,thesaurus.topn3,0.4523,kurds history   past antiquity ,thesaurus.topn3.replace,0.4324,kurds  past antiquity ,stem.lovins,0.4255,kurd histor ,word2vec.topn3,0.4249,kurds history kurdish history ,glove.topn3,0.3867,kurds history kurdish sunnis historical ever ,word2vec.topn3.replace,0.3855,kurdish history ,conceptnet.topn3,0.3469,kurds history past subject school ,glove.topn3.replace,0.3402,kurdish sunnis historical ever ,wordnet.topn3.replace,0.3239,kurds account story ,stem.paicehusk,0.3094,kurd hist ,stem.trunc4,0.3094,kurd hist ,anchor.topn3.replace,0.3083,kurds recuyel seeg théodrat ,sensedisambiguation,0.28,Kurds kurd history ,conceptnet.topn3.replace,0.2599,kurds past subject school ,,,,,,,,,,,,,,,,,,
732,U S  cheese production ,0.1608,10,termluster.topn5.3.bm25.rm3,0.3173,u s  cheese production year volum unit year volum unit ,glove.topn3,0.3011,u s  cheese production us u s cheddar producing produced ,word2vec.topn3,0.2975,u s  cheese production usa u s american cheddar producing ,word2vec.topn3.replace,0.2942,usa u s american cheddar producing ,glove.topn3.replace,0.276,us u s cheddar producing produced ,docluster.topn10.3.bm25.rm3,0.2585,u s  cheese production product dairi ,stem.porter,0.2228,u   s   chees product ,stem.porter2,0.2228,u   s   chees product ,relevancefeedback.topn10.bm25.rm3,0.2136,u s  cheese production product milk dairi import export ,wordnet.topn3,0.2116,u s  cheese production United States government United States of America U S A  cheeseflower high mallow Malva sylvestris output yield ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Airline overbooking ,0.4298,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Recycling successes ,0.2196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Afghan women condition ,0.1832,4,stem.krovetz,0.2081,afghanistan women condition ,tagmee.topn3,0.2026,afghan women condition Afghanistan Women s rights in Afghanistan ,conceptluster.topn5.3.bm25.rm3,0.2026,afghan women condition afghanistan women  s rights afghanistan ,sensedisambiguation,0.1877,Afghan sheepskin coat women womanhood condition ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,location BSE infections ,0.6438,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Enron California energy crisis ,0.6537,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Anthrax hoaxes ,0.6248,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Habitat for Humanity ,0.329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,regulate assisted living Maryland ,0.2501,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Artificial Intelligence ,0.0542,4,wordnet.topn3,0.1374,artificial intelligence contrived unreal stilted news intelligence agency ,sensedisambiguation,0.0719,Artificial Intelligence news ,thesaurus.topn3,0.0645,artificial intelligence  unreal bogus  acumen agility ,word2vec.topn3,0.0616,artificial intelligence artifical synthetic intellegence intelligence ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,hedge funds fraud protection ,0.3305,8,stem.trunc5,0.4518,hedge funds fraud prote ,tagmee.topn3.replace,0.4073,Hedge fund Fraud Security  finance ,tagmee.topn3,0.3903,hedge funds fraud protection Hedge fund Fraud Security  finance ,conceptluster.topn5.3.bm25.rm3,0.3903,hedge funds fraud protection security finance fraud hedge fund ,anchor.topn3,0.3862,hedge funds fraud protection   fraud fixing   match states disney use   ahea ,word2vec.topn3,0.3752,hedge funds fraud protection monies fraudulent ,glove.topn3,0.3714,hedge funds fraud protection investments fund money fraudulent embezzlement ,wordnet.topn3,0.3405,hedge funds fraud protection sidestep monetary fund store faker hoax fake tribute auspices ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Freighter ship registration ,0.0152,6,conceptluster.topn5.3.bm25.rm3,0.0357,freighter ship registration ship registration cargo ship ,tagmee.topn3,0.0252,freighter ship registration Cargo ship Cargo ship Ship registration ,wordnet.topn3,0.0243,freighter ship registration bottom merchantman transport embark adjustment enrollment ,glove.topn3,0.0232,freighter ship registration ship vessel voter identification ,word2vec.topn3,0.0198,freighter ship registration cargo tanker vessel warship registering ,stem.lovins,0.0156,freighter ship register ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Counterfeit ID punishments ,0.0168,3,glove.topn3,0.1095,counterfeit id punishments fake identification meted ,wordnet.topn3.replace,0.0491,fake forgery imitative ID Idaho Gem State penalty penalisation ,glove.topn3.replace,0.0235,fake identification meted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Doomsday cults ,0.2457,1,word2vec.topn3,0.3237,doomsday cults apocalypse apocalyptic end of the world sects ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Outsource job India ,0.4412,2,sensedisambiguation,0.4924,Outsource job problem India ,sensedisambiguation.replace,0.4577,outsource problem india ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Library computer oversight ,0.0771,4,tagmee.topn3.replace,0.081,Library Computer Regulation ,tagmee.topn3,0.0801,library computer oversight Library Computer Regulation ,docluster.topn10.3.bm25.rm3,0.0799,library computer oversight cost comput ,conceptluster.topn5.3.bm25.rm3,0.0797,library computer oversight computer regulation ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Nuclear reactor types ,0.0567,2,termluster.topn5.3.bm25.rm3,0.0821,nuclear reactor types anoth befor build accid allow also year water vessel ,conceptnet.topn3,0.0584,nuclear reactor types atomic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Puerto Rico state ,0.5660000000000001,1,glove.topn3,0.6002,puerto rico state rico rican puerto pwehr federal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,John Edwards womens issues ,0.0122,1,conceptluster.topn5.3.bm25.rm3,0.0969,john edwards womens issues issues ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Scrabble Players ,0.3462,1,stem.paicehusk,0.3481,scrabbl play ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Dam removal ,0.5495,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,bullying prevention programs ,0.3274,5,termluster.topn5.3.bm25.rm3,0.4483,bullying prevention programs well violenc understand work teacher target would victim train ,sensedisambiguation,0.3763,bullying strong arm prevention programs program ,tagmee.topn3,0.3512,bullying prevention programs Bullying Substance abuse Television program ,conceptluster.topn5.3.bm25.rm3,0.3512,bullying prevention programs bullying television program substance abuse ,thesaurus.topn3,0.3395,bullying prevention programs  imperious blustering  avoidance blockage  bill business ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,domestic adoption laws ,0.1603,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Scottish Highland Games ,0.5358,4,termluster.topn5.3.bm25.rm3,0.6333,scottish highland games game highland competit game scottish competit scottish highland competit ,tagmee.topn3.replace,0.5521,Scottish people Highland games Highland games ,tagmee.topn3,0.5454,scottish highland games Scottish people Highland games Highland games ,conceptluster.topn5.3.bm25.rm3,0.5392,scottish highland games scottish people highland games ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Volcanic Activity ,0.3653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Murals ,0.2345,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Embryonic stem cells ,0.7023,2,relevancefeedback.topn10.bm25.rm3,0.7059,embryonic stem cells cell ,docluster.topn10.3.bm25.rm3,0.7059,embryonic stem cells cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,civil war battle reenactments ,0.2873,1,word2vec.topn3,0.3371,civil war battle reenactments rights era civl conflict skirmish re enactments re enactment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,american muslim mosques schools ,0.28,10,conceptnet.topn3,0.4574,american muslim mosques schools dollar ijma places to learn things an eraser classrooms ,termluster.topn5.3.bm25.rm3,0.3808,american muslim mosques schools also commun famili also american commun york washington state york washington state ,word2vec.topn3,0.3718,american muslim mosques schools british america islamic moslem masjids colleges universities ,wiki.topn3.replace,0.3318,american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,wiki.topn3,0.3281,american muslim mosques schools american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,stem.krovetz,0.3253,america muslim mosque school ,wordnet.topn3,0.3167,american muslim mosques schools American English American language Islamic Moslem schooltime school day train ,tagmee.topn3.replace,0.3148,Americans Islam in the United States Muslim Mosque Madhhab ,tagmee.topn3,0.3061,american muslim mosques schools Americans Islam in the United States Muslim Mosque Madhhab ,conceptluster.topn5.3.bm25.rm3,0.3061,american muslim mosques schools muslim islam united states madhhab americans mosque ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Problems of Hmong Immigrants ,0.5198,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,History of Physicians in America ,0.0114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Hunting deaths ,0.0548,4,glove.topn3,0.3536,hunting deaths hunters fatalities ,glove.topn3.replace,0.1843,hunters fatalities ,word2vec.topn3.replace,0.1519,hunting fatalities killings ,word2vec.topn3,0.0664,hunting deaths fatalities killings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Increase mass transit use ,0.2383,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,ephedra ma huang deaths ,0.5264,4,thesaurus.topn3,0.5538,ephedra huang deaths    afterlife annihilation ,sensedisambiguation,0.5435,ephedra ma huang deaths end ,termluster.topn5.3.bm25.rm3,0.5406,ephedra huang deaths advers also associ advers also associ two taken supplement ,docluster.topn10.3.bm25.rm3,0.5301,ephedra ma huang deaths supplement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,diamond smuggling ,0.6999,1,sensedisambiguation,0.7026,diamond rhombus smuggling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Pharmacist License requirements ,0.3366,2,tagmee.topn3.replace,0.3602,Pharmacist License ,tagmee.topn3,0.3396,pharmacist license requirements Pharmacist License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Women in state legislatures ,0.2812,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Kroll Associates Employees ,0.0081,2,wordnet.topn3,0.0104,kroll associates employees consociate relate fellow ,wiki.topn3,0.0101,kroll associates employees general atlantic wilson sonsini goodrich   rosati      in asia Kroll Inc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Kyrgyzstan United States relations ,0.304,2,conceptnet.topn3.replace,0.3722,kyrgyzstan united country relations ,stem.paicehusk,0.3138,kyrgyzstan   unit stat rel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,deformed leopard frogs ,0.64,4,anchor.topn3,0.7248,deformed leopard frogs v g   leopard  nimrs ,sensedisambiguation,0.6519,deformed flex leopard frogs frog ,termluster.topn5.3.bm25.rm3,0.6518,deformed leopard frogs northern miss leopard deform frog northern northern miss leopard ,anchor.topn3.replace,0.6487,deformed v g   leopard  nimrs   frogs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,flag display rules ,0.5701,3,word2vec.topn3,0.631,flag display rules flag  regulations laws ,word2vec.topn3.replace,0.6228,flag  display regulations laws ,termluster.topn5.3.bm25.rm3,0.5834,flag display rules abov alwai america wai vertic upon ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Pennsylvania slot machine gambling ,0.8955,7,sensedisambiguation,0.9552,Pennsylvania university of pennsylvania slot machine gambling gamble ,anchor.topn3,0.9461,pennsylvania slot machine gambling pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ ,termluster.topn5.3.bm25.rm3,0.9381,pennsylvania slot machine gambling ani bureau case citat code due three state slot within violat video ,sensedisambiguation.replace,0.9091,university of pennsylvania slot machine gamble ,conceptnet.topn3.replace,0.9045,PA an apple tree slot machine machine gambling ,relevancefeedback.topn10.bm25.rm3,0.897,pennsylvania slot machine gambling court machin licens license ,wiki.topn3,0.8969,pennsylvania slot machine gambling pennsylvania new jersey cities in pennsylvania Pennsylvania slot machines blackjack video poker Slot machine gambling lottery slot machine Gambling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Causes of Homelessness ,0.4209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Commercial candy makers ,0.5035,2,tagmee.topn3,0.5586,commercial candy makers Candy ,conceptluster.topn5.3.bm25.rm3,0.5586,commercial candy makers candy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Magnet schools success ,0.3702,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,hybrid alternative fuel cars ,0.3458,3,wiki.topn3,0.3494,hybrid alternative fuel cars powertrain ac propulsion automotivaerodynamics Hybrid vehicle alternative fuels miles per gallon gasolinequivalent hybrid vehicldrivetrain Alternative fuel vehicle ,tagmee.topn3,0.3471,hybrid alternative fuel cars Hybrid vehicle Alternative fuel vehicle ,conceptluster.topn5.3.bm25.rm3,0.3471,hybrid alternative fuel cars alternative fuel vehicle hybrid vehicle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,golden ratio ,0.1548,1,termluster.topn5.3.bm25.rm3,0.165,golden ratio ratio calcul compar golden calcul compar ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Javelinas range and description ,0.5077,3,tagmee.topn3,0.5882,javelinas range description Peccary Range  biology  Species description ,conceptluster.topn5.3.bm25.rm3,0.5882,javelinas range description range biology species description peccary ,sensedisambiguation,0.5383,Javelinas collared peccary range stove and description ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Arable land ,0.3955,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
