qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
754,domestic adoption laws ,0.0812,5,rm3.topn10.10.0.5.qld,0.1066,parent entiti famili except children protect domest child esign law adopt ,docluster.topn10.3.qld,0.1066,domestic adoption laws law adopt ,onfields.topn3.10.4.0.25.qld,0.0869,"{'law': 2, 'domest': 2, 'adopt': 2, 'child': 1.81, 'convers': 1.3, 'famili': 1.203, 'provis': 1.174, 'dpc': 1.152, 'esign': 1.097, 'sec99': 1.052, 'pl1782002': 1.052, 'entiti': 1.0} ",tagmee.topn3,0.0828,domestic adoption laws Adoption Affinity  law ,conceptluster.topn5.3.qld,0.0828,domestic adoption laws affinity law adoption ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Scottish Highland Games ,0.4832,2,tagmee.topn3,0.5001,scottish highland games Scottish people Highland games Highland games ,wiki.topn3,0.4953,scottish highland games scottish people scottish society fife Scottish people highland games angus graham  strongman  ballachulish Highland games highland games angus graham  strongman  ballachulish Highland games ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Volcanic Activity ,0.3124,1,relevancefeedback.topn10.qld,0.3918,volcanic activity volcano lake volcan erupt activ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Murals ,0.2122,2,docluster.topn10.3.qld,0.2143,murals mural your ,sensedisambiguation,0.2123,Murals mural ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Embryonic stem cells ,0.6639,1,tagmee.topn3,0.664,embryonic stem cells Embryonic stem cell ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,civil war battle reenactments ,0.2141,1,word2vec.topn3,0.2415,civil war battle reenactments rights era civl conflict skirmish re enactments re enactment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,american muslim mosques schools ,0.3034,6,stem.krovetz,0.3462,america muslim mosque school ,wiki.topn3,0.3455,american muslim mosques schools american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,wiki.topn3.replace,0.3443,american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,tagmee.topn3,0.3285,american muslim mosques schools Americans Islam in the United States Muslim Mosque Madhhab ,conceptluster.topn5.3.qld,0.3285,american muslim mosques schools muslim islam united states madhhab americans mosque ,tagmee.topn3.replace,0.3049,Americans Islam in the United States Muslim Mosque Madhhab ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Problems of Hmong Immigrants ,0.4918,1,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.4931,"{'immigr': 2, 'of': 2, 'problem': 2, 'hmong': 2, 'abbot': 1.259, 'phra': 1.222, 'antivientian': 1.222, 'chamrun': 1.222, 'krabok': 1.148, 'hilltrib': 1.111, 'pukhao': 1.074, 'chaloem': 1.074, 'phromloet': 1.074, 'greengroceri': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,History of Physicians in America ,0.0138,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Hunting deaths ,0.1187,2,glove.topn3,0.3282,hunting deaths hunters fatalities ,glove.topn3.replace,0.1772,hunters fatalities ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Increase mass transit use ,0.1695,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,ephedra ma huang deaths ,0.473,4,rm3.topn10.10.0.5.qld,0.5071,huang ma herbal ephedrin drug ephedra death supplement heart dietari advers caffein fda ,relevancefeedback.topn10.qld,0.5024,ephedra ma huang deaths ephedrin heart drug product supplement ,glove.topn3,0.4987,ephedra huang deaths ephedrine supplements cheng yu fatalities ,sensedisambiguation,0.4744,ephedra ma huang deaths end ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,diamond smuggling ,0.5187,8,onfields.topn3.10.4.0.25.qld,0.6231,"{'smuggl': 2, 'diamond': 2, 'leon': 1.403, 'sierra': 1.403, 'trade': 1.33, 'legitim': 1.189, 'digger': 1.186, 'stone': 1.172, 'countri': 1.163, 'buyer': 1.161, 'leonean': 1.082} ",bertqe.topn10.qld,0.6112,"{'diamond smuggling': 0.6363636363636365, 'smuggling diamonds nearly': 1.0, 'physical smuggling diamonds': 0.9090909090909092, 'illicit diamond smuggling ': 0.9090909090909092, 'diamond smuggling sierra': 0.6363636363636365} ",rm3.topn10.10.0.5.qld,0.5967,sierra diamond war conflict leon smuggl market origin digger countri trade ,tagmee.topn3,0.5612,diamond smuggling Diamond Blood diamond Smuggling ,conceptluster.topn5.3.qld,0.5612,diamond smuggling diamond smuggling blood diamond ,wiki.topn3,0.5331,diamond smuggling impact event minerals abrasives semiconductor materials Diamond politics of liberia people extradited from liberia people extradited from sierra leone Blood diamond contraband customs sabotage Smuggling ,tagmee.topn3.replace,0.5292,Diamond Blood diamond Smuggling ,termluster.topn5.3.qld,0.5223,diamond smuggling becaus govern intern year would world ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Pharmacist License requirements ,0.4704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Women in state legislatures ,0.1254,1,rm3.topn10.10.0.5.qld,0.1566,state legislatur commiss minnesota governor york elect senat dfl women serv ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Kroll Associates Employees ,0.0124,3,wiki.topn3,0.0248,kroll associates employees general atlantic wilson sonsini goodrich   rosati      in asia Kroll Inc ,wiki.topn3.replace,0.0196,general atlantic wilson sonsini goodrich   rosati      in asia Kroll Inc ,relevancefeedback.topn10.qld,0.0181,kroll associates employees train mr wage illinoi law fraser gepner ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Kyrgyzstan United States relations ,0.3492,2,termluster.topn5.3.qld,0.3943,kyrgyzstan united states relations unit kyrgyzstan ,docluster.topn10.3.qld,0.3533,kyrgyzstan united states relations kyrgyzstan trade state central ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,deformed leopard frogs ,0.502,3,onfields.topn3.10.4.0.25.qld,0.6787,"{'leopard': 2, 'deform': 2, 'frog': 2, 'abnorm': 1.328, 'vermont': 1.241, 'amphibian': 1.233, 'malform': 1.233, 'northern': 1.198, 'caus': 1.138, 'levey': 1.103, 'champlain': 1.095} ",rm3.topn10.10.0.5.qld,0.5644,leg frog deform minnesota malform leopard amphibian vermont he caus ,anchor.topn3.replace,0.5079,deformed v g   leopard  nimrs   frogs ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,flag display rules ,0.3723,5,rm3.topn10.10.0.5.qld,0.5033,school flown staff rule never displai place half flag posit ,word2vec.topn3,0.4577,flag display rules flag  regulations laws ,onfields.topn3.10.4.0.25.qld,0.4544,"{'rule': 2, 'display': 2, 'flag': 2, 'unit': 1.224, 'halfstaff': 1.08, 'usc': 1.078, 'flown': 1.075, 'provis': 1.046, 'pledg': 1.044, 'allegi': 1.035, 'hoist': 1.033, 'advertis': 1.02} ",word2vec.topn3.replace,0.4253,flag  display regulations laws ,termluster.topn5.3.qld,0.3971,flag display rules abov alwai america weather wai vertic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Pennsylvania slot machine gambling ,0.5488,9,rm3.topn10.10.0.5.qld,0.8444,machin premis slot licens credit pennsylvania liquor license video gambl ,termluster.topn5.3.qld,0.8225,pennsylvania slot machine gambling citat enforc inc citat enforc inc video three suprem video three suprem ,onfields.topn3.10.4.0.25.qld,0.8102,"{'pennsylvania': 2, 'slot': 2, 'nt': 2.0, 'gambl': 2, 'machin': 2, 'licens': 1.334, 'liquor': 1.103, 'premis': 1.082, 'kratsa': 1.074, 'a2d': 1.044, 'ebner': 1.04, 'cozzoli': 1.031} ",anchor.topn3,0.8003,pennsylvania slot machine gambling pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ ,sensedisambiguation,0.7282,Pennsylvania university of pennsylvania slot machine gambling gamble ,anchor.topn3.replace,0.6248,pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ machine gambling ,docluster.topn10.3.qld,0.6205,pennsylvania slot machine gambling machin license ,bertqe.topn10.qld,0.5734,"{'Pennsylvania slot machine gambling': 1.5, 'video slot machines  p   p  pennsylvania': 1.0, 'game machines  b   u   502 pa 186 ': 0.7357634314156053, 'machines  u   537 a2d 812  pa ': 0.3320158102766799, 'machines  i   b   465 a2d 973  pa ': 0.30683648074952424, 'slot machines licensed': 0.1919191919191919} ",relevancefeedback.topn10.qld,0.5544,pennsylvania slot machine gambling court machin license licens ,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Causes of Homelessness ,0.3052,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Commercial candy makers ,0.3719,3,onfields.topn3.10.4.0.25.qld,0.4319,"{'maker': 2, 'commerci': 2, 'chocol': 2.0, 'candi': 2, 'var': 1.547, 'say': 1.453, 'sweet': 1.358, 'shop': 1.283, 'cane': 1.245, 'fussel': 1.132, 'sugarfre': 1.094, 'hitchcockhal': 1.075, 'librarymuseum': 1.019} ",tagmee.topn3,0.4079,commercial candy makers Candy ,conceptluster.topn5.3.qld,0.4079,commercial candy makers candy ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Magnet schools success ,0.223,2,onfields.topn3.10.4.0.25.qld,0.2697,"{'success': 2, 'school': 2, 'magnet': 2, 'documentwriteopt': 1.465, 'border0': 1.39, 'k5': 1.366, 'vspace0': 1.302, 'hspace0': 1.302, 'srcimagesspacergif': 1.244, 'border0td': 1.209, 'imagesedprog3bulletoffgif': 1.174, 'imagesedprog3bulletovergif': 1.174, 'curriculumthem': 1.14} ",adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.2524,"{'success': 2, 'school': 2, 'magnet': 2, 'that': 1.744, 'camellia': 1.167, 'hergesheim': 1.167, 'theyr': 1.077, 'englishspeak': 1.064, 'stebing': 1.051, 'minimagnet': 1.051, 'sixthgrad': 1.038, 'topflight': 1.038, 'limitedenglish': 1.026} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,hybrid alternative fuel cars ,0.3082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,golden ratio ,0.0998,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Javelinas range and description ,0.5034,2,docluster.topn10.3.qld,0.5548,javelinas range and description javelina road rang area ,relevancefeedback.topn10.qld,0.5151,javelinas range and description javelina road bear jaguar area rang confidenti ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Arable land ,0.3529,1,bertqe.topn10.qld,0.4013,"{'Arable land': 1.5, 'arable land  land': 1.0, 'land arable  property': 0.6, 'arable  except lands': 0.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Squirrel control and protections ,0.4286,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Orange varieties seasons ,0.6889,2,relevancefeedback.topn10.qld,0.7786,orange varieties seasons crop orang fruit box ,rm3.topn10.10.0.5.qld,0.7358,varieti crop box tree fruit million forecast orang season florida percent ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,school mercury poisoning ,0.1768,6,bertqe.topn10.qld,0.4964,"{'school mercury poisoning': 1.5, 'mercury  a   br   br   href  http  wwwmercuryinschoolsuwexedu   mercury schools  img': 1.0, 'mercury kept school': 0.5384615384615384, 'school   mercury schools': 0.8846153846153845, 'mercury concentrations  school': 0.5769230769230768, 'school  mercury levels': 0.46153846153846145} ",termluster.topn5.3.qld,0.2522,school mercury poisoning also children mercuri work school program work school program ,glove.topn3,0.2196,school mercury poisoning students piyanart srivalo contamination ,tagmee.topn3,0.2035,school mercury poisoning Shoaling and schooling Mercury poisoning ,conceptluster.topn5.3.qld,0.2035,school mercury poisoning shoaling schooling mercury poisoning ,tagmee.topn3.replace,0.1972,Shoaling and schooling Mercury poisoning ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784,mersenne primes ,0.4507,4,glove.topn3,0.5201,mersenne primes proth frahd reciprocals nasdaq ,docluster.topn10.3.qld,0.4817,mersenne primes prime number gener ,termluster.topn5.3.qld,0.4521,mersenne primes number ,sensedisambiguation,0.4515,mersenne primes prime ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
785,Ivory billed woodpecker ,0.4231,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,Yew trees ,0.425,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
787,Sunflower Cultivation ,0.5755,2,docluster.topn10.3.qld,0.6405,sunflower cultivation sunflow ,relevancefeedback.topn10.qld,0.6283,sunflower cultivation sunflow c ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,Reverse mortgages ,0.5221,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
789,abandoned mine reclamation ,0.2213,2,termluster.topn5.3.qld,0.2848,abandoned mine reclamation western site reclam abandon coal pennsylvania western site reclaim ,glove.topn3,0.2358,abandoned mine reclamation leaving reclaimed dredging ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
790,women s rights in Saudi Arabia ,0.4883,3,relevancefeedback.topn10.qld,0.4926,women s rights in saudi arabia govern ,docluster.topn10.3.qld,0.4926,women s rights in saudi arabia govern ,conceptluster.topn5.3.qld,0.4884,women  s rights saudi arabia women  s rights saudi arabia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
791,Gullah geechee language culture ,0.4643,10,wiki.topn3,0.5625,gullah geechee language culture gullah language igbo landing africanisms Gullah gullah language igbo landing africanisms Gullah languages of the african diaspora liberian english merico language Gullah language sociology of culture society counterculture Culture ,tagmee.topn3.replace,0.5417,Gullah Gullah Gullah language Culture ,wiki.topn3.replace,0.5315,gullah language igbo landing africanisms Gullah gullah language igbo landing africanisms Gullah languages of the african diaspora liberian english merico language Gullah language sociology of culture society counterculture Culture ,stem.porter,0.5278,gullah geeche languag cultur ,stem.porter2,0.5278,gullah geeche languag cultur ,termluster.topn5.3.qld,0.5165,gullah geechee language culture countri geeche nation site nation gullah studi special public ,tagmee.topn3,0.5131,gullah geechee language culture Gullah Gullah Gullah language Culture ,anchor.topn3,0.5091,gullah geechee language culture gullah  island binyah ambelau ,anchor.topn3.replace,0.504,gullah  island binyah ambelau geechee language culture ,conceptluster.topn5.3.qld,0.5,gullah geechee language culture gullah language culture ,,,,,,,,,,,,,,,,,,,,,,,,
792,Social Security means test ,0.103,2,relevancefeedback.topn10.qld,0.14800000000000002,social security means test program secur benefit earn ,docluster.topn10.3.qld,0.1476,social security means test secur earn benefit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
793,Bagpipe Bands ,0.274,8,thesaurus.topn3,0.3407,bagpipe bands   line ring ,termluster.topn5.3.qld,0.3393,bagpipe bands pipe ,tagmee.topn3.replace,0.3194,Bagpipes Military band ,thesaurus.topn3.replace,0.3192,bagpipe  line ring ,tagmee.topn3,0.3155,bagpipe bands Bagpipes Military band ,conceptluster.topn5.3.qld,0.3155,bagpipe bands military band bagpipes ,docluster.topn10.3.qld,0.301,bagpipe bands band ,wiki.topn3,0.2997,bagpipe bands tin whistle great highland bagpipe chanter Bagpipes military bands bugle military tattoo Military band ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
794,pet therapy ,0.0638,5,tagmee.topn3,0.1999,pet therapy Animal assisted therapy ,conceptluster.topn5.3.qld,0.1999,pet therapy animal assisted therapy ,glove.topn3,0.0997,pet therapy dog treatments ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.0845,"{'therapi': 2, 'pet': 2, 'that': 2.0, 'there': 1.5, 'camarillo': 1.444, 'cuddl': 1.222, 'ruckert': 1.222, '11yearold': 1.222, 'boardandcar': 1.222, 'onthespot': 1.167, 'scheurn': 1.111, '7yearold': 1.111, 'petcolog': 1.111} ",conceptnet.topn3,0.0795,pet therapy dog a dog ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
795,notable cocker spaniels ,0.0223,18,wiki.topn3.replace,0.1201,labradoodle pointer  dog breed  show dog Cocker Spaniel foxhound basset fauvdbretagne welsh springer spaniel Spaniel ,wiki.topn3,0.0981,notable cocker spaniels labradoodle pointer  dog breed  show dog Cocker Spaniel foxhound basset fauvdbretagne welsh springer spaniel Spaniel ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.0964,"{'notabl': 2, 'cocker': 2, 'spaniel': 2, 'stride': 2.0, 'dog': 1.87, 'fred': 1.783, 'mtv': 1.348, 'playboy': 1.261, 'doesnt': 1.217, 'notreadyformtv': 1.13, 'priddl': 1.087, 'allout': 1.087} ",onfields.topn3.10.4.0.25.qld,0.081,"{'notabl': 2, 'cocker': 2, 'spaniel': 2, 'terrier': 2.0, 'hound': 1.531, 'dog': 1.438, 'unspecifi': 1.266, 'colli': 1.156, 'poodl': 1.125, 'dachshund': 1.125, 'wirehair': 1.125, 'coonhound': 1.094} ",relevancefeedback.topn10.qld,0.0791,notable cocker spaniels terrier p dog ye ,rm3.topn10.10.0.5.qld,0.0705,isbn frank notabl terrier cd owner cocker english spaniel ye dog ,conceptnet.topn3.replace,0.0645,noteworthy far famed luminary cocker spaniel pamper old cocker spaniels ,termluster.topn5.3.qld,0.0642,notable cocker spaniels english spaniel english cocker ,docluster.topn10.3.qld,0.0614,notable cocker spaniels terrier ,word2vec.topn3,0.0311,notable cocker spaniels noteworthy noteable note worthy spaniel spaniels ,stem.paicehusk,0.0304,not cock spaniel ,tagmee.topn3.replace,0.0275,Cocker Spaniel Spaniel ,sensedisambiguation.replace,0.0269,noteworthy cocker spaniel spaniel ,tagmee.topn3,0.0264,notable cocker spaniels Cocker Spaniel Spaniel ,conceptluster.topn5.3.qld,0.0264,notable cocker spaniels spaniel cocker spaniel ,sensedisambiguation,0.0261,notable noteworthy cocker cocker spaniel spaniels spaniel ,stem.lovins,0.0238,not cocker spaniel ,word2vec.topn3.replace,0.0227,noteworthy noteable note worthy spaniel spaniels spaniels 
796,Blue Grass Music Festival history ,0.1649,5,tagmee.topn3,0.443,blue grass music festival history Bluegrass music ,conceptluster.topn5.3.qld,0.443,blue grass music festival history bluegrass music ,wiki.topn3,0.3332,blue grass music festival history old time music bluegrass music americana  music  Bluegrass music ,tagmee.topn3.replace,0.2365,Bluegrass music ,wiki.topn3.replace,0.2133,old time music bluegrass music americana  music  Bluegrass music ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,reintroduction of gray wolves ,0.6259,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,Massachusetts textile mills ,0.1714,5,onfields.topn3.10.4.0.25.qld,0.378,"{'massachusett': 2, 'textil': 2, 'mill': 2, 'lowel': 1.835, 'cotton': 1.304, 'statenew': 1.177, 'england': 1.165, 'york19101920': 1.152, 'workersnorth': 1.127, 'dc19101920': 1.101, '19361940': 1.076, '1933present': 1.076} ",relevancefeedback.topn10.qld,0.3637,massachusetts textile mills      mill lowel us theater ,rm3.topn10.10.0.5.qld,0.3295,park      massachusett worker histori textil mill lowel industri ,docluster.topn10.3.qld,0.3243,massachusetts textile mills      theater lowel ,bertqe.topn10.qld,0.1988,"{'Massachusetts textile mills': 1.5, 'textile mills lowell massachusetts ': 1.0, 'workers  massachusetts  lowell  19101920  a   br   href  cgibinquerys  ppils   filreq   field  subj  band  textilemillworkers  massachusetts  newbedford  19101920     field  collidnclc     textile mill workers  massachusetts  new': 1.0, 'mill workers  maine  lewiston  19001910  a   br   href  cgibinquerys  ppils   filreq   field  subj  band  textilemillworkers  massachusetts  lowell  19101920     field  collidnclc     textile mill': 0.875, 'room  a    br   href  http  memorylocgovcgibinqueryr  ammemhh   field  docid  lit  ma1443     massachusetts mills  cloth': 0.875, 'href  cgibinquerys  ppils   filreq   field  subj  od1  textileprinting  massachusetts  lawrence  19201930     field  collidcph     textile printing  massachusetts  lawrence  19201930  a   br   href  cgibinquerys  ppils   filreq   field  subj  od1  textiles  19001910     field  collidcph     textiles  19001910  a   br  ': 0.75} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,Animals in Alzheimer s research ,0.1515,5,onfields.topn3.10.4.0.25.qld,0.3088,"{""alzheimer'"": 2, 'in': 2, 'anim': 2, 'research': 2, 'age': 2.0, 'diseas': 1.411, 'function': 1.339, 'studi': 1.282, 'agerel': 1.257, 'alzheim': 1.236, 'molecular': 1.15, 'nia': 1.125, 'respons': 1.093, 'onesid': 1.064} ",rm3.topn10.10.0.5.qld,0.2176,older nia mechan cell clinic diseas function alzheim ag ad research anim ,relevancefeedback.topn10.qld,0.1636,animals in alzheimer s research ag ad applic ,docluster.topn10.3.qld,0.1611,animals in alzheimer s research ag ,glove.topn3,0.1521,animals alzheimer  s research humans dementia parkinson  s whose study institute ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,Ovarian Cancer Treatment ,0.1997,2,bertqe.topn10.qld,0.2297,"{'Ovarian Cancer Treatment': 1.5, 'treatment ovarian cancer': 0.9902591077342685, 'ovarian cancer may consider surgery': 1.0, 'surgery ovarian cancer may': 0.9984414572374829, 'drugs used treat ovarian': 0.3991817650496786, 'ovarian epithelial cancer  h2   p  treatment ': 0.13111240989674655} ",onfields.topn3.10.4.0.25.qld,0.2078,"{'treatment': 2, 'cancer': 2, 'ovarian': 2, 'ovari': 1.563, 'stage': 1.245, 'epitheli': 1.185, 'nci': 1.154, 'cancergov': 1.087, 'abdomen': 1.08, 'chemotherapi': 1.0, 'salpingooophorectomi': 1.0} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
