qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
801,Kudzu Pueraria lobata ,0.4422,9,bertqe.topn10.qld,0.5517,"{'Kudzu Pueraria lobata': 1.5, 'kudzu  pueraria lobata  willd   ohwi  ': 1.0, 'kudzu plant  pueraria lobata  leguminosae  ': 0.5, 'kudzu  pueraria lobata ohwi  stands ': 0.5, 'kudzu  pueraria lobata    td   tr   tr ': 0.5, 'kudzu  pueraria lobata  found': 0.5} ",tagmee.topn3.replace,0.5516,Kudzu Kudzu ,tagmee.topn3,0.5326,kudzu pueraria lobata Kudzu Kudzu ,termluster.topn5.3.qld,0.484,kudzu pueraria lobata forest lobata plant forest kudzu lobata forest kudzu plant ,wiki.topn3,0.4733,kudzu pueraria lobata pueraria strongyloides stercoralis edamame Kudzu pueraria strongyloides stercoralis edamame Kudzu ,relevancefeedback.topn10.qld,0.4559,kudzu pueraria lobata sourc ,docluster.topn10.3.qld,0.4559,kudzu pueraria lobata sourc ,onfields.topn3.10.4.0.25.qld,0.4544,"{'na': 2.0, 'lobata': 2, 'pueraria': 2, 'kudzu': 2, 'sourc': 1.642, 'abstract': 1.303, 'journal': 1.289, 'stem': 1.222, 'daidzin': 1.06, 'invas': 1.053, 'ohwi': 1.051} ",stem.lovins,0.4426,kudzu puerar lob ,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Volcano eruptions global temperature ,0.3471,2,conceptluster.topn5.3.qld,0.4369,volcano eruptions global temperature climate temperature ,anchor.topn3,0.4264,volcano eruptions global temperature  kudryavyi  ndiayen  idmaax  global eliahu  learjet  kiwin ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,May Day ,0.0,2,wiki.topn3,0.0259,may day publiholidays in the republiof ireland international workers  day parade May Day ,wiki.topn3.replace,0.0171,publiholidays in the republiof ireland international workers  day parade May Day ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,ban on human cloning ,0.5122,4,sensedisambiguation,0.6345,ban prohibition on human cloning ,sensedisambiguation.replace,0.5534,prohibition on human cloning ,tagmee.topn3,0.514,ban human cloning Ban  law  Human cloning ,conceptluster.topn5.3.qld,0.514,ban human cloning human cloning ban law ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,Identity Theft Passport ,0.041,5,stem.paicehusk,0.1307,id theft passport ,termluster.topn5.3.qld,0.08,identity theft passport virginia victim theft attornei crime gener attornei crime gener ,sensedisambiguation,0.0621,Identity Theft larceny Passport recommendation ,onfields.topn3.10.4.0.25.qld,0.062,"{'passport': 2, 'ident': 2, 'theft': 2, 'victim': 1.281, 'crime': 1.264, 'virginia': 1.198, 'kilgor': 1.132, 'stolen': 1.091, 'licens': 1.066, 'wwwvaagcom': 1.05, '022003': 1.008} ",conceptnet.topn3,0.051,identity theft passport name oneness operator a crime robbery thieve pass ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Doctors Without Borders ,0.0663,1,onfields.topn3.10.4.0.25.qld,0.1293,"{'without': 2, 'border': 2, 'doctor': 2, 'mayor': 1.594, 'hilton': 1.469, 'humanitarian': 1.406, 'releas': 1.406, 'conrad': 1.281, 'giuliani': 1.219, 'lucio': 1.156, '45598': 1.062, '48899doctor': 1.031} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Sugar tariff rate quotas ,0.5685,7,termluster.topn5.3.qld,0.7237,sugar tariff rate quotas alloc cane contain trq tariff sugar ,wordnet.topn3,0.6424,sugar tariff rate quotas saccharify refined sugar kale ,tagmee.topn3,0.6184,sugar tariff rate quotas Sugar Import quota ,wordnet.topn3.replace,0.6007,refined sugar dough gelt tariff rate quotas ,rm3.topn10.10.0.5.qld,0.5754,refin tariff ton export import raw sugar quota price rate ,stem.trunc5,0.5729,sugar tarif   rate quota ,thesaurus.topn3,0.5699,sugar tariff rate quotas  carbohydrate candy   allocation allotment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,North Korean Counterfeiting ,0.6491,1,stem.krovetz,0.6668,north korea counterfeit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,wetlands wastewater treatment ,0.3132,2,docluster.topn10.3.qld,0.3355,wetlands wastewater treatment wetland ,relevancefeedback.topn10.qld,0.3274,wetlands wastewater treatment wetland na ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,timeshare resales ,0.3129,4,relevancefeedback.topn10.qld,0.6181,timeshare resales timeshar illinoi applic you consum site ftc ,docluster.topn10.3.qld,0.4222,timeshare resales you consum timeshar applic illinoi ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.4219,"{'resal': 2, 'timeshar': 2, 'buyer': 1.26, 'purchas': 1.117, 'abus': 1.078, 'haylock': 1.052, 'tenerif': 1.039, 'crossbord': 1.039, 'coolingoff': 1.039, 'primeshar': 1.039, 'surpris': 1.026, 'topfloor': 1.026} ",onfields.topn3.10.4.0.25.qld,0.3376,"{'resal': 2, 'timeshar': 2, 'estat': 1.289, 'illinoi': 1.263, 'purchas': 1.197, 'resort': 1.132, 'purpos': 1.105, 'disburs': 1.079, 'promis': 1.066, 'timeshareland': 1.053, '5050477': 1.039} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,handwriting recognition ,0.2808,1,relevancefeedback.topn10.qld,0.3177,handwriting recognition inform handwrit signal project charact ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,total knee replacement surgery ,0.5012,2,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.5733,"{'replac': 2, 'total': 2, 'surgeri': 2, 'knee': 2, 'peach': 1.333, 'dietrich': 1.292, 'goldwat': 1.25, 'dodger': 1.167, 'kal': 1.125, 'zan': 1.083, 'toetip': 1.042, 'overexuber': 1.042, 'mixedbre': 1.042} ",conceptluster.topn5.3.qld,0.5131,total knee replacement surgery knee replacement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Atlantic Intracoastal Waterway ,0.2986,1,onfields.topn3.10.4.0.25.qld,0.3069,"{'atlant': 2, 'florida': 2.0, 'intracoast': 2, 'waterway': 2, 'river': 1.908, 'navig': 1.387, 'barg': 1.345, 'inland': 1.227, 'dredg': 1.202, 'okeechobe': 1.151, 'coastwis': 1.101} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Johnstown flood ,0.6922,1,wiki.topn3,0.7036,johnstown flood      meteorology      in pennsylvania south fork dam Johnstown Flood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Coast Guard rescues ,0.1404,4,onfields.topn3.10.4.0.25.qld,0.2255,"{'rescu': 2, 'coast': 2, 'guard': 2, 'respons': 1.12, 'fontfamilytim': 1.12, 'msopaginationwidoworphan': 1.076, 'marginbottom0001pt': 1.076, 'margin0in': 1.076, 'msobidifontsize100pt': 1.057, 'fontsize120pt': 1.051, 'msofareastfontfamilytim': 1.044} ",adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.2,"{'guard': 2, 'coast': 2, 'rescu': 2, 'raft': 1.652, 'humphrey': 1.609, 'mugu': 1.478, 'blaze': 1.304, 'rescuer': 1.304, 'gelgean': 1.304, 'clement': 1.261, 'toro': 1.174, 'exercis': 1.13, 'fa18a': 1.13} ",sensedisambiguation,0.1911,Coast slide Guard precaution rescues rescue ,relevancefeedback.topn10.qld,0.1417,coast guard rescues search ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,USAID assistance to Galapagos ,0.7736,2,onfields.topn3.10.4.0.25.qld,0.8266,"{'galapago': 2, 'to': 2, 'assist': 2, 'usaid': 2, 'msolevelnumberpositionleft': 2.0, 'textindent25in': 1.998, 'msoleveltext': 1.993, 'msolevelnumberformatbullet': 1.993, 'fontfamilysymbol': 1.454, 'fontfamilywingd': 1.323, 'msoansifontsize100pt': 1.309, 'msoleveltextf0b7': 1.251, 'msoleveltextf0a7': 1.217, 'msoleveltextf0a8': 1.203, 'fontfamilytim': 1.174} ",bertqe.topn10.qld,0.7909,"{'USAID assistance to Galapagos': 1.5, 'galapagos  although usaid provides': 1.0, 'usaidsupported activities galapagos ': 1.0, 'usaid galapagos': 1.0, 'galapagos ecosystem  usaid': 1.0, 'galapagos  br   p   br   u  description  u   usaid': 0.9761904761904762} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,sports stadium naming rights ,0.2786,3,tagmee.topn3,0.358,sports stadium naming rights Stadium Naming rights ,conceptluster.topn5.3.qld,0.358,sports stadium naming rights naming rights stadium ,rm3.topn10.10.0.5.qld,0.3028,park revenu player sport right tax minnesota stadium franchis contract facil name ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Chaco Culture National Park ,0.2037,3,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.5095,"{'park': 2, 'nation': 2, 'cultur': 2, 'chaco': 2, 'cours': 1.737, 'hous': 1.605, 'chacoan': 1.342, 'fiveday': 1.184, 'canyonland': 1.158, 'elderhostel': 1.105, 'threeday': 1.105, 'twoday': 1.079, 'barkshir': 1.079, 'fournight': 1.053} ",onfields.topn3.10.4.0.25.qld,0.3773,"{'nation': 2, 'park': 2, 'cultur': 2, 'chaco': 2, 'histor': 1.98, 'monument': 1.62, 'committe': 1.46, 'affili': 1.4, 'pueblo': 1.37, 'repatri': 1.15, 'image10070': 1.14, 'monacan': 1.08} ",bertqe.topn10.qld,0.2463,{'Chaco Culture National Park': 1.5} ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,Census ,0.0047,16,bertqe.topn10.qld,0.3128,"{'1890 Census': 1.5, 'census 1990': 1.0, 'census  1990  td   tr   tr ': 0.9991742361684559, 'pop census  1990  td   tr ': 0.9973162675474815, ' gen census 1990   td   td  gen': 0.9882328654004956, '1990 census  references': 0.9772914946325351} ",adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.2503,"{'censu': 2, '1890': 2, 'pite': 2.0, '2921': 1.5, 'styless': 1.125, '1238048': 1.125, '3361500': 1.125, '18611934': 1.125, '2816061': 1.125, '1970358': 1.125, '1504277': 1.125, '2966850': 1.125, 'waless': 1.125} ",rm3.topn10.10.0.5.qld,0.1292,na fire           schedul popul censu archiv secretari jan ,word2vec.topn3,0.0695,census                censuses Censuses ,thesaurus.topn3,0.0344,census  enumeration poll ,relevancefeedback.topn10.qld,0.033,census censu popul record ,word2vec.topn3.replace,0.0277,censuses Censuses ,termluster.topn5.3.qld,0.0246,census access archiv articl ,tagmee.topn3,0.0148,census      United States Census ,conceptluster.topn5.3.qld,0.0148,census      united states census ,wiki.topn3,0.0123,census      united states census      united states census      united states census      United States Census ,wiki.topn3.replace,0.0092,united states census      united states census      united states census      United States Census ,tagmee.topn3.replace,0.0092,United States Census ,conceptnet.topn3,0.0074,census population ,docluster.topn10.3.qld,0.0069,census censu popul ,glove.topn3,0.0058,census           population inhabitants ,,,,,,
820,imported fire ants ,0.7563,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Internet work at home scams ,0.2364,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Custer s Last Stand ,0.0725,11,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.2441,"{'stand': 2, 'last': 2, ""custer'"": 2, 'that': 2.0, 'custer': 1.872, 'punsalan': 1.41, 'booher': 1.308, 'carson': 1.282, 'battlefield': 1.282, 'there': 1.256, 'mitoma': 1.128, 'huenem': 1.077, 'mintzmyer': 1.077, '70million': 1.051} ",tagmee.topn3,0.1868,custer  s last stand Battle of the Little Bighorn ,conceptluster.topn5.3.qld,0.1868,custer  s last stand battle little bighorn ,wiki.topn3,0.1177,custer  s last stand battlof throsebud marias massacre son of thmorning star Battle of the Little Bighorn ,tagmee.topn3.replace,0.1171,Battle of the Little Bighorn ,rm3.topn10.10.0.5.qld,0.1062,indian georg hi foreword stand last custer nativ littl he fiction battl ,onfields.topn3.10.4.0.25.qld,0.1013,"{'stand': 2, 'last': 2, ""custer'"": 2, 'custer': 2.0, 'nativ': 1.914, 'var': 1.486, 'flander': 1.229, 'documentsearchwidgitsearchtyp': 1.171, 'documentwriteopt': 1.171, 'savedsearch': 1.143, 'savedscop': 1.143, 'documentsearchwidgitsortdropdownoptionslength': 1.143, 'savedtag': 1.114, 'immigrationn': 1.029} ",relevancefeedback.topn10.qld,0.096,custer s last stand custer american ,docluster.topn10.3.qld,0.096,custer s last stand custer american ,bertqe.topn10.qld,0.0824,"{'Custers Last Stand': 1.5, 'custer s last stand  john': 1.0, ' custer s last stand ': 0.6923076923076923, 'last stand  aftermath  p   p  custer': 0.6923076923076923, 'custer s last battle ': 0.6153846153846153, 'american  custer s last stand  title   meta': 0.5384615384615385} ",termluster.topn5.3.qld,0.0786,custer  s last stand last stand custer stand custer last ,,,,,,,,,,,,,,,,,,,,,
823,Continuing care retirement communities ,0.2914,1,relevancefeedback.topn10.qld,0.5165,continuing care retirement communities oper provid ccrc ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Civil Air Patrol ,0.3261,4,rm3.topn10.10.0.5.qld,0.445,patrol member civil forc amend cadet mission aerospac secretari air ,wiki.topn3,0.4276,civil air patrol civil air patrol american military youth groups air cadet organisations Civil Air Patrol ,wiki.topn3.replace,0.415,civil air patrol american military youth groups air cadet organisations Civil Air Patrol ,relevancefeedback.topn10.qld,0.3299,civil air patrol   you ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,National Guard Involvement in Iraq ,0.0687,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,Florida Seminole Indians ,0.2695,5,conceptluster.topn5.3.qld,0.5427,florida seminole indians seminole tribe florida ,tagmee.topn3,0.4589,florida seminole indians Florida Seminole Tribe of Florida Seminole Seminole ,tagmee.topn3.replace,0.4555,Florida Seminole Tribe of Florida Seminole Seminole ,wiki.topn3,0.4215,florida seminole indians peninsulas of the united states southeastern united states florida Florida miccosukeindian reservation brighton seminolindian reservation american indian reservations in florida Seminole Tribe of Florida uchebilly seminolwars billy bowlegs Seminole uchebilly seminolwars billy bowlegs Seminole ,wiki.topn3.replace,0.3783,peninsulas of the united states southeastern united states florida Florida miccosukeindian reservation brighton seminolindian reservation american indian reservations in florida Seminole Tribe of Florida uchebilly seminolwars billy bowlegs Seminole uchebilly seminolwars billy bowlegs Seminole ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Hidden Markov Modeling HMM ,0.4363,4,glove.topn3,0.4817,hidden markov modeling hmm hiding hid continuous time bb   simulation hmmm nope ,wiki.topn3,0.4709,hidden markov modeling hmm càdlàg feigenbaum constants central limit theorem Markov process power law statistical model parameter Mathematical model unsupervised learning support vector machine markov model Hidden Markov model ,anchor.topn3,0.4469,hidden markov modeling hmm    hidden    hidden br treasur   predict chain process  ctmc  deribeev wall cross ktarian svk br r ,stem.paicehusk,0.4394,hid markov model hmm ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,secret shoppers ,0.2763,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Spanish Civil War support ,0.0755,2,stem.krovetz,0.1016,spain civil war support ,tagmee.topn3,0.098,spanish civil war support Spanish Civil War Close air support ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,model railroads ,0.0254,2,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.1422,"{'model': 2, 'railroad': 2, 'layout': 1.729, 'that': 1.61, 'drucker': 1.203, 'nehrich': 1.153, 'miniatur': 1.136, 'schrock': 1.102, 'hobbyist': 1.068, 'macik': 1.068, 'roundhous': 1.034, 'hobbi': 1.0} ",thesaurus.topn3,0.0384,model railroads  exemplary miniature  rail line railway ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,Dulles Airport security ,0.5786,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,labor union activity ,0.1706,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,Iceland government ,0.5123,3,thesaurus.topn3,0.6014,iceland government   authority law ,tagmee.topn3,0.5424,iceland government Politics of Iceland ,conceptluster.topn5.3.qld,0.5424,iceland government politics iceland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,Global positioning system earthquakes ,0.3159,3,rm3.topn10.10.0.5.qld,0.3938,earthquak measur fault system describ deform satellit gp posit global precis ,docluster.topn10.3.qld,0.3518,global positioning system earthquakes posit earthquak ,relevancefeedback.topn10.qld,0.343,global positioning system earthquakes posit volcano earthquak gp ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,Big Dig pork ,0.0826,1,onfields.topn3.10.4.0.25.qld,0.3543,"{'pork': 2, 'big': 2, 'dig': 2, 'offici': 1.894, 'bpb': 1.652, 'fhwa': 1.63, 'billion': 1.54, 'sheriff': 1.368, 'purchas': 1.318, 'disclos': 1.273, 'overrun': 1.228, 'csurev6': 1.1} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,illegal immigrant wages ,0.218,1,anchor.topn3,0.2309,illegal immigrant wages voofoo grumpyfac noodlecak   fyn   lorri   nord ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,Eskimo History ,0.0671,3,tagmee.topn3,0.0889,eskimo history Eskimo kinship History ,conceptluster.topn5.3.qld,0.0842,eskimo history eskimo kinship ,docluster.topn10.3.qld,0.0784,eskimo history bird whale alaska ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,urban suburban coyotes ,0.2955,5,sensedisambiguation,0.5389,urban suburban coyotes coyote ,relevancefeedback.topn10.qld,0.4949,urban suburban coyotes coyot forest food ,onfields.topn3.10.4.0.25.qld,0.4863,"{'suburban': 2, 'urban': 2, 'coyot': 2, 'anim': 1.221, 'ws': 1.169, 'dog': 1.162, 'pet': 1.147, 'pup': 1.118, 'livestock': 1.103, 'garbag': 1.081, 'mendocino': 1.051, 'increas': 1.051, 'poultri': 1.0} ",docluster.topn10.3.qld,0.4621,urban suburban coyotes coyot forest ,rm3.topn10.10.0.5.qld,0.3966,pet suburban food human wildlif coyot anim bird urban forest dog ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,textile dyeing techniques ,0.5587,1,docluster.topn10.3.qld,0.6236,textile dyeing techniques dye us wast ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,Geysers ,0.1648,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,camel North America ,0.3307,2,relevancefeedback.topn10.qld,0.3974,camel north america anim ic poebrotherium student fossil yarn ,onfields.topn3.10.4.0.25.qld,0.3338,"{'north': 2, 'camel': 2, 'america': 2, 'anim': 1.902, 'sloth': 1.878, 'megalonyx': 1.634, 'fossil': 1.585, 'hagerman': 1.488, 'extinct': 1.463, 'bison': 1.415, 'hors': 1.341, 'claw': 1.293, 'latifron': 1.244} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,David McCullough ,0.0978,3,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.4228,"{'david': 2, 'mccullough': 2, 'truman': 1.36, 'compens': 1.34, 'triton': 1.32, 'henley': 1.2, 'nono': 1.16, 'mdir': 1.16, 'intermark': 1.16, '600000': 1.12, 'yesy': 1.12, 'toppaid': 1.04} ",wiki.topn3,0.1164,david mccullough books about john adams john adams  book  joseph sabin David McCullough ,onfields.topn3.10.4.0.25.qld,0.1146,"{'david': 2, 'mccullough': 2, 'var': 1.386, 'null': 1.295, 'nonfict': 1.22, 'documentsearchwidgitsearchtyp': 1.136, 'documentwriteopt': 1.136, 'savedsearch': 1.114, 'savedscop': 1.114, 'documentsearchwidgitsortdropdownoptionslength': 1.114, 'newurl': 1.091, 'savedtag': 1.091} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,Pol Pot ,0.3728,6,wiki.topn3,0.6169,pol pot people from kampong thom province cambodian people convicted of murder cambodian genocide Pol Pot ,termluster.topn5.3.qld,0.6158,pol pot cambodia khmer pot cambodia khmer pol ,rm3.topn10.10.0.5.qld,0.5877,rubin khmer de cambodian pol he cambodia pot que mr ,wiki.topn3.replace,0.4463,people from kampong thom province cambodian people convicted of murder cambodian genocide Pol Pot ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.3943,"{'pot': 2, 'pol': 2, 'cambodia': 1.865, 'cambodian': 1.405, 'faction': 1.351, 'khmer': 1.297, 'penh': 1.189, 'phnom': 1.189, 'saloth': 1.108, 'khieu': 1.081, 'samphan': 1.081} ",glove.topn3,0.3897,pol pot rouge maj boiling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,segmental duplications ,0.0549,4,tagmee.topn3,0.1296,segmental duplications Segmentation  biology  Gene duplication ,conceptluster.topn5.3.qld,0.1296,segmental duplications gene duplication segmentation biology ,sensedisambiguation,0.0919,segmental duplications duplication ,tagmee.topn3.replace,0.0782,Segmentation  biology  Gene duplication ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,New Jersey tomato ,0.3806,1,conceptluster.topn5.3.qld,0.3989,new jersey tomato jersey tomato ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,heredity and obesity ,0.1802,1,termluster.topn5.3.qld,0.1904,heredity obesity weight problem person ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,Portugal World War II ,0.2543,2,rm3.topn10.10.0.5.qld,0.6916,german portug ii switzerland swiss war      world      fiction gold neutral ,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.3411,"{'ii': 2, 'world': 2, 'portug': 2, 'war': 2, 'that': 1.493, 'advertis': 1.103, 'fussel': 1.096, 'wartim': 1.074, 'hitler': 1.059, 'increas': 1.037, 'superpow': 1.029, 'fourlett': 1.029, 'pepsicola': 1.022, 'highminded': 1.015} ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,radio station call letters ,0.1069,4,rm3.topn10.10.0.5.qld,0.1534,am call assign broadcast owner radio sign station fm compani letter ,docluster.topn10.3.qld,0.1484,radio station call letters fm ,termluster.topn5.3.qld,0.1241,radio station call letters call letter station call letter radio letter radio station station radio locat ,relevancefeedback.topn10.qld,0.1082,radio station call letters fm l your ham compani ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,Scalable Vector Graphics ,0.2102,5,relevancefeedback.topn10.qld,0.3487,scalable vector graphics imag svg graphic visual file render t ,rm3.topn10.10.0.5.qld,0.3344,render scalabl visual vector color patent svg gif devic graphic ,wiki.topn3,0.3256,scalable vector graphics mathml web browser engine konqueror Scalable Vector Graphics ,onfields.topn3.10.4.0.25.qld,0.2985,"{'vector': 2, 'scalabl': 2, 'graphic': 2, 'svg': 2.0, 'plot': 1.563, 'devic': 1.479, 'style': 1.437, 'pixel': 1.38, 'extens': 1.324, 'dataplot': 1.254, 'ipl1na': 1.085} ",termluster.topn5.3.qld,0.2337,scalable vector graphics vector graphic format graphic scalabl format vector scalabl format ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,Mississippi River flood ,0.2103,2,adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,0.2897,"{'river': 2, 'mississippi': 2, 'flood': 2, 'leve': 1.284, 'pere': 1.075, 'schwenk': 1.06, 'there': 1.045, 'heatwav': 1.045, 'cruis': 1.03, 'excurs': 1.03, 'washingtonbas': 1.015, '298bn': 1.015, 'mississippimissouri': 1.015} ",conceptluster.topn5.3.qld,0.2598,mississippi river flood flood ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
