qid,abstractqueryexpansion,abstractqueryexpansion.qld.rm3.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10,method.11,metric.11,query.11,method.12,metric.12,query.12,method.13,metric.13,query.13,method.14,metric.14,query.14,method.15,metric.15,query.15,method.16,metric.16,query.16,method.17,metric.17,query.17,method.18,metric.18,query.18
701,U S  oil industry history ,0.0231,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
702,Pearl farming ,0.0605,7,thesaurus.topn3,0.1972,pearl farming  jewel nacre  agriculture breeding ,thesaurus.topn3.replace,0.1192,jewel nacre  agriculture breeding ,wiki.topn3,0.0905,pearl farming pearls jewellery components gemstone Pearl ,tagmee.topn3,0.0883,pearl farming Pearl ,word2vec.topn3,0.0864,pearl farming necklace agriculture agricultural ,wiki.topn3.replace,0.0774,pearls jewellery components gemstone Pearl ,tagmee.topn3.replace,0.0768,Pearl ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
703,U S  against International Criminal Court ,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
704,Green party political views ,0.1198,1,anchor.topn3,0.2537,green party political views green windi treekrem k cup ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
705,Iraq foreign debt reduction ,0.2979,2,tagmee.topn3.replace,0.526,Iraq External debt Debt ,tagmee.topn3,0.4665,iraq foreign debt reduction Iraq External debt Debt ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
706,Controlling type II diabetes ,0.1102,3,sensedisambiguation.replace,0.2018,see type two diabetes ,sensedisambiguation,0.1183,Controlling see type II two diabetes ,stem.paicehusk,0.1139,control type iy diabet ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
707,Aspirin cancer prevention ,0.4948,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,Decorative slate sources ,0.2602,2,conceptnet.topn3,0.3117,decorative slate sources nonfunctional ,word2vec.topn3,0.2793,decorative slate sources ornamental limestone souces references ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,Horse racing jockey weight ,0.6953,3,wordnet.topn3,0.7091,horse racing jockey weight Equus caballus cavalry hie speed cannonball along screw cheat system of weights weight down exercising weight ,conceptluster.topn5.3.qld.rm3,0.7069,horse racing jockey weight jockey ,sensedisambiguation,0.6996,Horse sawhorse racing rush jockey weight weight unit ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,Prostate cancer treatments ,0.4838,1,sensedisambiguation,0.5168,Prostate prostate gland cancer treatments treatment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,Train station security measures ,0.1522,1,termluster.topn5.3.qld.rm3,0.1832,train station security measures chang equip respons addit agenc attack tunnel transit threat train support specif ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,Pyramid scheme ,0.5751,1,word2vec.topn3.replace,0.5753,pyramid like scheme ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,Chesapeake Bay Maryland clean ,0.2415,1,relevancefeedback.topn10.qld.rm3,0.2594,chesapeake bay maryland clean marina bai watersh program ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,License restrictions older drivers ,0.1172,2,anchor.topn3,0.1524,license restrictions older drivers extreme charact      ghostbusters      apress cecropioides  ref  cecropioid thumbnail a ,relevancefeedback.topn10.qld.rm3,0.1249,license restrictions older drivers driver renew licens ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,Schizophrenia drugs ,0.1665,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,Spammer arrest sue ,0.0983,6,sensedisambiguation,0.281,Spammer arrest halt sue ,sensedisambiguation.replace,0.2799,spammer halt sue ,tagmee.topn3,0.1337,spammer arrest sue Spamming Arrest Lawsuit ,conceptluster.topn5.3.qld.rm3,0.1337,spammer arrest sue spamming arrest lawsuit ,termluster.topn5.3.qld.rm3,0.1026,spammer arrest sue action also civil ,word2vec.topn3,0.0985,spammer arrest sue spam re arrest countersue counter sue suing ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,Gifted talented student programs ,0.3775,2,relevancefeedback.topn10.qld.rm3,0.3814,gifted talented student programs gift ,docluster.topn10.3.qld.rm3,0.3814,gifted talented student programs gift ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,Controlling acid rain ,0.2865,2,glove.topn3,0.3269,controlling acid rain sulfuric downpour ,sensedisambiguation,0.3009,Controlling see acid rain ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,Cruise ship damage sea life ,0.0835,9,wiki.topn3,0.2364,cruise ship damage sea life cruisline cruise ship templates holland america line Cruise ship plankton oceanography ocean current Marine biology ,tagmee.topn3,0.2317,cruise ship damage sea life Cruise ship Marine biology ,anchor.topn3,0.2272,cruise ship damage sea life kommuna   cunnari communa   normalhöhennul  trsa    vega apicomplexan kdblife nánjīng    small ,wiki.topn3.replace,0.2078,cruisline cruise ship templates holland america line Cruise ship plankton oceanography ocean current Marine biology ,glove.topn3,0.1981,cruise ship damage sea life ship vessel caused ocean waters lives even ,conceptnet.topn3,0.1371,cruise ship damage sea life captain boat harm corrode ocean water death finite ,sensedisambiguation,0.1353,Cruise ship damage wrong sea life liveliness ,tagmee.topn3.replace,0.1148,Cruise ship Marine biology ,sensedisambiguation.replace,0.0975,cruise ship wrong sea liveliness ,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,Federal welfare reform ,0.3042,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,Census data applications ,0.0051,8,stem.trunc5,0.0812,censu data appli ,glove.topn3,0.0591,census data applications population inhabitants information analysis applying ,thesaurus.topn3,0.0586,census data applications  enumeration poll  dossier evidence  function operation ,tagmee.topn3,0.0471,census data applications Census Data Application software ,wiki.topn3,0.0278,census data applications sampling  statistics  survey methodology censuses Census data warehouse audit trail usability testing Data application software web application graphical user interface Application software ,word2vec.topn3,0.0191,census data applications censuses Censuses datasets dataset ,tagmee.topn3.replace,0.0147,Census Data Application software ,word2vec.topn3.replace,0.0098,censuses Censuses datasets dataset applications ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,Iran terrorism ,0.4578,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,Executive privilege ,0.3072,2,relevancefeedback.topn10.qld.rm3,0.3616,executive privilege presid privileg ,docluster.topn10.3.qld.rm3,0.3511,executive privilege presid ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,Iran Contra ,0.2191,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,Low white blood cell count ,0.1901,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,Hubble telescope repairs ,0.5429999999999999,1,sensedisambiguation,0.5811,Hubble telescope repairs repair ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,Church arson ,0.4625,3,termluster.topn5.3.qld.rm3,0.6005,church arson arson baptist build baptist build charg ,wordnet.topn3,0.5535,church arson Christian church church building church service incendiarism fire raising ,sensedisambiguation,0.503,Church church service arson ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,whales save endangered ,0.4109,1,relevancefeedback.topn10.qld.rm3,0.4136,whales save endangered whale endang ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,Whistle blower department of defense ,0.003,7,word2vec.topn3,0.0485,whistle blower department defense swanee whistle blowing dept defence ,glove.topn3,0.045,whistle blower department defense blowing whistleblower administration defence ,thesaurus.topn3,0.0238,whistle blower department defense  blare hiss  blowhard blusterer  administration agency  aegis armor ,glove.topn3.replace,0.0098,blowing whistleblower administration defence ,tagmee.topn3.replace,0.0074,Whistleblower United States Department of Defense ,stem.paicehusk,0.0045,whistl blow depart of defens ,word2vec.topn3.replace,0.0039,swanee whistle blowing dept defence ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,Gastric bypass complications ,0.5486,2,tagmee.topn3,0.5568,gastric bypass complications Gastric bypass surgery Complication  medicine ,conceptluster.topn5.3.qld.rm3,0.5568,gastric bypass complications gastric bypass surgery complication medicine ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,Kurds history ,0.1916,14,stem.lovins,0.3835,kurd histor ,conceptnet.topn3.replace,0.3711,kurds past subject school ,conceptnet.topn3,0.3599,kurds history past subject school ,word2vec.topn3,0.3532,kurds history kurdish history ,glove.topn3,0.3421,kurds history kurdish sunnis historical ever ,word2vec.topn3.replace,0.3244,kurdish history ,stem.paicehusk,0.295,kurd hist ,stem.trunc4,0.295,kurd hist ,sensedisambiguation,0.2947,Kurds kurd history ,glove.topn3.replace,0.2834,kurdish sunnis historical ever ,thesaurus.topn3,0.2388,kurds history   past antiquity ,thesaurus.topn3.replace,0.2122,kurds  past antiquity ,wiki.topn3,0.2062,kurds history kurdistan mahabad mahabad Kurds history academidisciplines literature History ,wiki.topn3.replace,0.2007,kurdistan mahabad mahabad Kurds history academidisciplines literature History ,,,,,,,,,,,,
732,U S  cheese production ,0.1611,7,word2vec.topn3,0.3111,u s  cheese production usa u s american cheddar producing ,word2vec.topn3.replace,0.299,usa u s american cheddar producing ,glove.topn3,0.2826,u s  cheese production us u s cheddar producing produced ,docluster.topn10.3.qld.rm3,0.265,u s  cheese production product dairi ,stem.porter,0.2118,u   s   chees product ,stem.porter2,0.2118,u   s   chees product ,relevancefeedback.topn10.qld.rm3,0.1694,u s  cheese production product dairi export import milk u  cooper ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,Airline overbooking ,0.3894,2,docluster.topn10.3.qld.rm3,0.433,airline overbooking airlin you ,conceptluster.topn5.3.qld.rm3,0.4285,airline overbooking overselling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,Recycling successes ,0.2091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,Afghan women condition ,0.2423,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,location BSE infections ,0.6304,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,Enron California energy crisis ,0.5789,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,Anthrax hoaxes ,0.5365,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,Habitat for Humanity ,0.1991,2,termluster.topn5.3.qld.rm3,0.4765,habitat humanity human build develop year time provid ,sensedisambiguation,0.2175,Habitat for Humanity world ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,regulate assisted living Maryland ,0.1105,5,word2vec.topn3,0.2008,regulate assisted living maryland restrict aided facilitated non living kentucky virginia baltimore ,glove.topn3,0.1984,regulate assisted living maryland virginia md ,wiki.topn3,0.1304,regulate assisted living maryland policy consumer protection income Regulation continuing care american hospital association homcare Assisted living maryland virginia virginia Maryland ,thesaurus.topn3,0.1193,regulate assisted living maryland  adjust administer  aid back  breathing contemporary ,anchor.topn3,0.1109,regulate assisted living maryland gingerpig seareal caballero  maryland histori maryland educ arksansa ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,Artificial Intelligence ,0.0627,3,sensedisambiguation,0.0741,Artificial Intelligence news ,conceptnet.topn3,0.0685,artificial intelligence factitious semisynthetic conventionalised learning ,word2vec.topn3,0.0652,artificial intelligence artifical synthetic intellegence intelligence ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,hedge funds fraud protection ,0.3542,5,word2vec.topn3,0.4016,hedge funds fraud protection monies fraudulent ,stem.trunc5,0.3733,hedge funds fraud prote ,tagmee.topn3.replace,0.3606,Hedge fund Fraud Security  finance ,tagmee.topn3,0.3588,hedge funds fraud protection Hedge fund Fraud Security  finance ,conceptluster.topn5.3.qld.rm3,0.3588,hedge funds fraud protection security finance fraud hedge fund ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,Freighter ship registration ,0.0481,7,stem.lovins,0.0909,freighter ship register ,conceptluster.topn5.3.qld.rm3,0.0767,freighter ship registration ship registration cargo ship ,tagmee.topn3,0.0605,freighter ship registration Cargo ship Cargo ship Ship registration ,anchor.topn3,0.0573,freighter ship registration d    cl   a    improv kommuna   cunnari communa ,wordnet.topn3,0.0517,freighter ship registration bottom merchantman transport embark adjustment enrollment ,sensedisambiguation,0.0517,Freighter bottom ship registration ,glove.topn3,0.0512,freighter ship registration ship vessel voter identification ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,Counterfeit ID punishments ,0.0128,2,glove.topn3,0.0908,counterfeit id punishments fake identification meted ,glove.topn3.replace,0.0223,fake identification meted ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,Doomsday cults ,0.4593,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,Outsource job India ,0.5158,2,sensedisambiguation,0.5251,Outsource job problem India ,conceptnet.topn3,0.5184,outsource job india source ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,Library computer oversight ,0.0808,6,tagmee.topn3,0.1049,library computer oversight Library Computer Regulation ,wiki.topn3,0.1005,library computer oversight libraries book promotion public library Library computers computer hardware software Computer policy consumer protection income Regulation ,conceptluster.topn5.3.qld.rm3,0.0944,library computer oversight computer regulation ,relevancefeedback.topn10.qld.rm3,0.0891,library computer oversight librari cost comput ,docluster.topn10.3.qld.rm3,0.0891,library computer oversight librari comput cost ,sensedisambiguation,0.0861,Library computer oversight supervision ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,Nuclear reactor types ,0.0737,4,tagmee.topn3,0.1074,nuclear reactor types Nuclear reactor Parabolic aluminized reflector light ,anchor.topn3,0.0985,nuclear reactor types kernkraftwerk  kkl  union  frussia reactor romawa reactor adam core ,conceptnet.topn3,0.0821,nuclear reactor types atomic ,conceptnet.topn3.replace,0.0788,atomic reactor types ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,Puerto Rico state ,0.2471,5,glove.topn3,0.5023,puerto rico state rico rican puerto pwehr federal ,glove.topn3.replace,0.4436,rico rican puerto pwehr federal ,word2vec.topn3,0.3735,puerto rico state rican rico ricans puerto ricans rican federal ,wordnet.topn3.replace,0.3641,puerto RICO Act anti racketeering law commonwealth State Department ,word2vec.topn3.replace,0.2769,rican rico ricans puerto ricans rican federal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,John Edwards womens issues ,0.0006,1,sensedisambiguation,0.0035,John whoremaster Edwards edward womens womanhood issues topic ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,Scrabble Players ,0.2314,1,stem.paicehusk,0.3301,scrabbl play ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,Dam removal ,0.5311,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,bullying prevention programs ,0.4009,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,domestic adoption laws ,0.2136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,Scottish Highland Games ,0.5436,4,termluster.topn5.3.qld.rm3,0.6275,scottish highland games game highland competit game scottish competit scottish highland competit ,tagmee.topn3,0.5512,scottish highland games Scottish people Highland games Highland games ,tagmee.topn3.replace,0.5491,Scottish people Highland games Highland games ,conceptluster.topn5.3.qld.rm3,0.5449,scottish highland games scottish people highland games ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,Volcanic Activity ,0.3506,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,Murals ,0.2194,1,docluster.topn10.3.qld.rm3,0.2474,murals mural your ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,Embryonic stem cells ,0.6389,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,civil war battle reenactments ,0.1439,5,word2vec.topn3.replace,0.2651,rights era civl conflict skirmish re enactments re enactment ,word2vec.topn3,0.2524,civil war battle reenactments rights era civl conflict skirmish re enactments re enactment ,docluster.topn10.3.qld.rm3,0.2294,civil war battle reenactments park reenact ,relevancefeedback.topn10.qld.rm3,0.2174,civil war battle reenactments park reenact program florida ,sensedisambiguation,0.1886,civil war battle conflict reenactments reenactment ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,american muslim mosques schools ,0.3312,3,conceptnet.topn3,0.4263,american muslim mosques schools dollar ijma places to learn things an eraser classrooms ,wiki.topn3,0.3718,american muslim mosques schools american people immigration to the united states ethnigroups in the united states Americans muslim american society thmosqucares islam in washington  d c  Islam in the United States quraniwords and phrases muslims islam Muslim mosques mosque architecture islamiculture Mosque athari hanbali muwatta imam malik Madhhab ,stem.krovetz,0.3674,america muslim mosque school ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,Problems of Hmong Immigrants ,0.5212,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,History of Physicians in America ,0.0012,1,docluster.topn10.3.qld.rm3,0.0024,history of physicians in america p women ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
763,Hunting deaths ,0.0345,3,glove.topn3,0.2876,hunting deaths hunters fatalities ,glove.topn3.replace,0.1868,hunters fatalities ,word2vec.topn3.replace,0.0469,hunting fatalities killings ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,Increase mass transit use ,0.2147,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
765,ephedra ma huang deaths ,0.5572,1,sensedisambiguation,0.5594,ephedra ma huang deaths end ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
766,diamond smuggling ,0.7183,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
767,Pharmacist License requirements ,0.4302,2,sensedisambiguation,0.4476,Pharmacist License requirements requirement ,tagmee.topn3,0.4376,pharmacist license requirements Pharmacist License ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
768,Women in state legislatures ,0.2437,1,termluster.topn5.3.qld.rm3,0.37,women state legislatures hous legisl legislatur year women serv ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
769,Kroll Associates Employees ,0.0085,2,wiki.topn3,0.0252,kroll associates employees general atlantic wilson sonsini goodrich   rosati      in asia Kroll Inc ,wordnet.topn3,0.0138,kroll associates employees consociate relate fellow ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
770,Kyrgyzstan United States relations ,0.3212,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
771,deformed leopard frogs ,0.4777,3,anchor.topn3,0.6627,deformed leopard frogs v g   leopard  nimrs ,anchor.topn3.replace,0.5614,deformed v g   leopard  nimrs   frogs ,sensedisambiguation,0.5042,deformed flex leopard frogs frog ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,flag display rules ,0.4876,4,termluster.topn5.3.qld.rm3,0.5516,flag display rules abov alwai america weather wai vertic ,word2vec.topn3.replace,0.5425,flag  display regulations laws ,word2vec.topn3,0.5304,flag display rules flag  regulations laws ,sensedisambiguation,0.5258,flag pin display rules rule ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
773,Pennsylvania slot machine gambling ,0.8079999999999999,6,anchor.topn3,0.9466,pennsylvania slot machine gambling pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ ,sensedisambiguation,0.9346,Pennsylvania university of pennsylvania slot machine gambling gamble ,termluster.topn5.3.qld.rm3,0.9132,pennsylvania slot machine gambling bureau charg citat bureau charg citat violat video slot violat video slot ,anchor.topn3.replace,0.9092,pennsybania pennsylvania histori pennsylvania fourth nordskov jensk fowler typ machine gambling ,sensedisambiguation.replace,0.8286,university of pennsylvania slot machine gamble ,wiki.topn3,0.8118,pennsylvania slot machine gambling pennsylvania new jersey cities in pennsylvania Pennsylvania slot machines blackjack video poker Slot machine gambling lottery slot machine Gambling ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
774,Causes of Homelessness ,0.2856,3,wiki.topn3,0.3282,causes homelessness arthritis sepsis symptoms and signs  vascular Paralysis homelessness homeless shelters homeless shelter Homelessness ,wiki.topn3.replace,0.3117,arthritis sepsis symptoms and signs  vascular Paralysis homelessness homeless shelters homeless shelter Homelessness ,tagmee.topn3,0.2968,causes homelessness Paralysis Homelessness ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,Commercial candy makers ,0.5128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
776,Magnet schools success ,0.1199,1,conceptnet.topn3,0.1219,magnet schools success magnetic needle places to learn things an eraser classrooms taking finals victory ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,hybrid alternative fuel cars ,0.2769,2,sensedisambiguation,0.3025,hybrid alternative fuel cars car ,thesaurus.topn3,0.2822,hybrid alternative fuel cars  amalgam combination  different second  ammunition electricity  auto automobile ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,golden ratio ,0.1104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
779,Javelinas range and description ,0.5189,2,tagmee.topn3,0.552,javelinas range description Peccary Range  biology  Species description ,conceptluster.topn5.3.qld.rm3,0.552,javelinas range description range biology species description peccary ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,Arable land ,0.3402,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
781,Squirrel control and protections ,0.4553,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
782,Orange varieties seasons ,0.785,1,sensedisambiguation.replace,0.7929999999999999,orange variety show season ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
783,school mercury poisoning ,0.2374,5,tagmee.topn3,0.3148,school mercury poisoning Shoaling and schooling Mercury poisoning ,conceptluster.topn5.3.qld.rm3,0.3148,school mercury poisoning shoaling schooling mercury poisoning ,tagmee.topn3.replace,0.3069,Shoaling and schooling Mercury poisoning ,termluster.topn5.3.qld.rm3,0.2773,school mercury poisoning also children mercuri school poison depart school mercuri depart ,anchor.topn3,0.2696,school mercury poisoning neo confucianist        ahiran ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
